iso3c,animal,system,product,animals,kg_n_yr,managed_em,managed_spread_em,spread_em,leftonfield_em,total_manure_CO2_em
FRO,cows,mixed,meat,375.5597151517868,62.891111111111115,84.17200351833293,123.37365987203225,122.07501524464104,448.9569426570928,232.01613114504548
FSM,cows,mixed,meat,0,46.58625,0,0,0,0,0
GAB,cows,mixed,meat,13702.645635460121,32.3,5190.222047472413,4606.126455748067,0,4173.042852239126,4162.878623926962
GBR,cows,mixed,meat,4101990.3643261115,61.6,900481.3948275757,1319865.04636727,1305972.0026403985,4802990.983258821,2482134.209274031
GEO,cows,mixed,meat,326470.43039512634,42.12,161254.2625838749,143107.08062123228,0,129651.66840914566,129335.87746104733
GGY,cows,mixed,meat,0,62.891111111111115,0,0,0,0,0
GHA,cows,mixed,meat,916860.239332405,32.57,350186.8932384564,310777.6697506411,0,281557.30109624634,280871.51549743244
GIB,cows,mixed,meat,0,46.75833333333333,0,0,0,0,0
GIN,cows,mixed,meat,3083609.3100795746,32.39,1171249.1413744397,1039439.4704142356,0,941707.8523613586,939414.14631671
GLP,cows,mixed,meat,60165.178771972656,33.43,21070.46483455977,19934.756191803714,0,25032.338031907806,19679.192599364844
GMB,cows,mixed,meat,345748.4385070801,31.02,125771.14368905242,111617.14990555326,0,101122.52758918788,100876.22471277048
GNB,cows,mixed,meat,358158.40404605865,29.3,123061.37288134765,109212.33044075577,0,98943.81739203833,98702.82117281423
GNQ,cows,mixed,meat,4771.470841410337,24.33,1361.3612116930874,1208.1567677942598,0,1094.5617782456986,1091.8957678044476
GRC,cows,mixed,meat,352392.5855386553,49.79,169814.09605351565,173556.83291944224,11828.25900421469,218367.85853934794,170922.97986192312
GRD,cows,mixed,meat,3759.982642173767,34.01416666666667,1339.794541252785,1267.5789422156713,0,1591.7157079010062,1251.3285790281
GRL,cows,mixed,meat,111.30818798672408,56.834999999999994,0,0,0,238.58814687936058,71.09926777004932
GTM,cows,mixed,meat,2664671.25758555,35.33,986233.6205292394,933075.1327879293,0,1171674.833059563,921113.108740266
GUF,cows,mixed,meat,17722.400578135264,35.54,6598.306735365856,6242.654686597609,0,7838.984376224043,6162.623847859877
GUM,cows,mixed,meat,0,46.58625,0,0,0,0,0
GUY,cows,mixed,meat,42995.01155920327,42.23,19020.927055027336,17995.68952850656,0,22597.4262770294,17764.98477244786
HKG,cows,mixed,meat,1564.9933033436537,25.62,470.18697930489316,417.27322351829463,0,378.039782355693,377.11899558330646
HND,cows,mixed,meat,1913322.0381851196,40.53,812376.2274999664,768588.7406084582,0,965127.0864471215,758735.4322575527
HRV,cows,mixed,meat,285986.66002408415,44.94,119195.99309148703,153372.7117525988,0,56711.4292299695,98125.47995406849
HTI,cows,mixed,meat,1051955.444152832,33.02,363887.3372797915,344273.6269424523,0,432308.9644125026,339860.0387331544
HUN,cows,mixed,meat,580558.5161590576,59.86,449428.0663519796,387928.29770968406,0,196598.34542576215,308118.5034272529
IDN,cows,mixed,meat,13788267.528589627,30.64,4954244.677925002,4396705.433894195,0,3983312.303859298,3973610.199872191
IMN,cows,mixed,meat,2553.5396270751953,62.891111111111115,572.309909191157,838.8533612909051,830.023499131191,3052.58870340252,1577.5450909587003
IND,cows,mixed,meat,130070309.13680951,34.47,42061855.98842318,41952791.07540796,0,33818577.67913421,35114300.97340368
IOT,cows,mixed,meat,0,30.596249999999998,0,0,0,0,0
IRL,cows,mixed,meat,2237391.995475769,58.95,433989.65335312666,872897.0560540756,0,3241999.1411684845,1355567.9834715545
IRN,cows,mixed,meat,2103692.619081557,34.02,671406.5422741172,669665.6087273158,0,539824.3555972802,560507.1589664165
IRQ,cows,mixed,meat,1204256.36618542,30.88,436089.10012878646,387012.6408454489,0,350624.4021135972,349770.3906401741
ISL,cows,mixed,meat,41691.085073964954,62.891111111111115,14311.80513472989,27753.820870623327,0,33621.51429376591,22554.7678091375
ISR,cows,mixed,meat,366780.6087309122,73.85,317640.4889625468,281893.9625790481,0,255389.33785933416,254767.28924147686
ITA,cows,mixed,meat,3684518.5151762827,52.28,1936259.4740125248,2369237.2745177,0,181619.39208922087,1337160.6099045947
JAM,cows,mixed,meat,89815.98580277711,32.15,30250.12313673109,28619.62629859438,0,35938.04473755498,28252.722663518372
JEY,cows,mixed,meat,441.9093856811524,62.891111111111115,99.0425673086501,145.16993182096311,143.64185725291037,528.2736106206154,273.0061341669354
JOR,cows,mixed,meat,18948.561806784324,37.5,8332.714646327187,7394.970201580968,0,6699.670067398743,6683.351764761455
JPN,cows,mixed,meat,2549537.3796316385,55.56,1661126.130654636,1474186.835699809,0,1335578.7985162905,1332325.7459314791
KAZ,cows,mixed,meat,1210685.6776909027,54.94,696807.1341058654,659248.8794232205,0,576970.7313079393,576041.9699614334
KEN,cows,mixed,meat,7893907.183938026,35.48,3284389.205644924,2914771.6364970943,0,2640714.9392119995,2634282.9828434973
KGZ,cows,mixed,meat,419011.03617477417,53.53,234971.5240705538,222306.4408470082,0,194561.28596256764,194248.0967622786
