iso3c,animal,product,fao_product_tonnes
LBR,pigs,meat,10398
LBR,sheep,meat,950
LBR,cows,milk,9261
LBY,chickens,eggs,72950
LBY,cows,meat,9652
LBY,chickens,meat,127593
LBY,goats,meat,13044
LBY,sheep,meat,33438
LBY,cows,milk,143028
LBY,goats,milk,18400
LBY,sheep,milk,71300
LIE,chickens,eggs,248
LIE,cows,milk,13172
LTU,chickens,eggs,41670
LTU,cows,meat,41917
LTU,chickens,meat,126607
LTU,goats,meat,78
LTU,pigs,meat,71476
LTU,sheep,meat,1258
LTU,cows,milk,1566653
LTU,goats,milk,4061
LUX,chickens,eggs,2063
LUX,cows,meat,9643
LUX,chickens,meat,270
LUX,goats,meat,3
LUX,pigs,meat,12944
LUX,sheep,meat,50
LUX,cows,milk,387176
LUX,goats,milk,3176
MDG,chickens,eggs,17700
MDG,cows,meat,175467
MDG,chickens,meat,46589
MDG,goats,meat,10318
MDG,pigs,meat,64190
MDG,sheep,meat,3278
MDG,cows,milk,544430
MWI,chickens,eggs,23067
MWI,cows,meat,45736
MWI,chickens,meat,130114
MWI,goats,meat,47075
MWI,pigs,meat,187440
MWI,sheep,meat,1322
MWI,cows,milk,62892
MWI,goats,milk,116352
MWI,sheep,milk,6253
MYS,chickens,eggs,857584
MYS,buffaloes,meat,7440
MYS,cows,meat,42158
MYS,chickens,meat,1648491
MYS,goats,meat,3106
MYS,pigs,meat,194375
MYS,sheep,meat,1503
MYS,buffaloes,milk,8260
MYS,cows,milk,43365
MLI,chickens,eggs,23000
MLI,cows,meat,182000
MLI,chickens,meat,48000
MLI,goats,meat,98000
MLI,pigs,meat,2353
MLI,sheep,meat,57942
MLI,cows,milk,594924
MLI,goats,milk,400487
MLI,sheep,milk,364330
MLT,chickens,eggs,5608
MLT,cows,meat,1117
MLT,chickens,meat,3676
MLT,goats,meat,35
MLT,pigs,meat,4707
MLT,sheep,meat,109
MLT,cows,milk,41091
MLT,goats,milk,1021
MLT,sheep,milk,1661
MTQ,chickens,eggs,2299
MTQ,cows,meat,955
MTQ,chickens,meat,1285
MTQ,goats,meat,21
MTQ,pigs,meat,994
MTQ,sheep,meat,64
MTQ,cows,milk,513
MRT,chickens,eggs,5600
MRT,cows,meat,30215
MRT,chickens,meat,4692
MRT,goats,meat,18811
MRT,pigs,meat,0
MRT,sheep,meat,35491
MRT,cows,milk,575000
MRT,goats,milk,100000
MRT,sheep,milk,73000
MUS,chickens,eggs,12400
MUS,cows,meat,1749
MUS,chickens,meat,47500
MUS,goats,meat,66
MUS,pigs,meat,631
MUS,sheep,meat,10
MUS,cows,milk,3600
MEX,chickens,eggs,2771198
MEX,cows,meat,1926901
MEX,chickens,meat,3211687
MEX,goats,meat,39777
MEX,pigs,meat,1441851
MEX,sheep,meat,61606
MEX,cows,milk,11767556
MEX,goats,milk,162323
MEX,sheep,milk,57701
FSM,chickens,eggs,250
FSM,cows,meat,293
FSM,chickens,meat,159
FSM,goats,meat,16
FSM,pigs,meat,1008
MNG,chickens,eggs,5410
MNG,cows,meat,97680
MNG,chickens,meat,220
MNG,goats,meat,80813
MNG,pigs,meat,488
MNG,sheep,meat,126656
MNG,cows,milk,539926
MNG,goats,milk,75207
MNG,sheep,milk,46300
MNE,chickens,eggs,5726
MNE,cows,meat,3875
MNE,chickens,meat,3650
MNE,goats,meat,131
MNE,pigs,meat,3899
MNE,sheep,meat,1049
MNE,cows,milk,169351
MNE,sheep,milk,8253
MSR,chickens,eggs,73
MSR,cows,meat,736
MSR,chickens,meat,84
MSR,goats,meat,26
MSR,pigs,meat,67
MSR,sheep,meat,24
MSR,cows,milk,3979
MAR,chickens,eggs,390600
MAR,cows,meat,260700
MAR,chickens,meat,690000
MAR,goats,meat,27500
MAR,pigs,meat,637
MAR,sheep,meat,163350
MAR,cows,milk,2450000
MAR,goats,milk,41938
MAR,sheep,milk,33828
MOZ,chickens,eggs,53000
MOZ,cows,meat,15444
MOZ,chickens,meat,88952
MOZ,goats,meat,22730
MOZ,pigs,meat,124000
MOZ,sheep,meat,696
MOZ,cows,milk,793705
MOZ,goats,milk,19991
MMR,chickens,eggs,561000
MMR,buffaloes,meat,50589
MMR,cows,meat,429007
MMR,chickens,meat,1500000
MMR,goats,meat,90062
MMR,pigs,meat,922723
MMR,sheep,meat,7772
MMR,buffaloes,milk,192134
MMR,cows,milk,2200000
MMR,goats,milk,14575
MMR,sheep,milk,4230
NAM,chickens,eggs,2851
NAM,cows,meat,36499
NAM,chickens,meat,10401
NAM,goats,meat,4123
NAM,pigs,meat,5345
NAM,sheep,meat,9997
NAM,cows,milk,112056
NRU,chickens,eggs,28
NRU,chickens,meat,4
