iso3c,organism,tonnes_product,million_kcals,tonnes_protein
SWE,marine-fish-general,0,0,0
CHE,marine-fish-general,0,0,0
SYR,marine-fish-general,0,0,0
TWN,marine-fish-general,73040.0453488372,73912.69421145151,12781.313062788424
TJK,marine-fish-general,0,0,0
TZA,marine-fish-general,0,0,0
THA,marine-fish-general,22455,22723.282010456285,3929.4113722710495
TLS,marine-fish-general,0,0,0
TGO,marine-fish-general,0,0,0
TKL,marine-fish-general,0,0,0
TON,marine-fish-general,0,0,0
TTO,marine-fish-general,0,0,0
TUN,marine-fish-general,20289,20531.403638839794,3550.381978713308
TUR,marine-fish-general,161997.412029757,163932.88258812076,28348.00592777582
TKM,marine-fish-general,0,0,0
TCA,marine-fish-general,0,0,0
TUV,marine-fish-general,0,0,0
UGA,marine-fish-general,0,0,0
UKR,marine-fish-general,0,0,0
ARE,marine-fish-general,2475,2504.5701614731374,433.1014538575305
GBR,marine-fish-general,0,0,0
USA,marine-fish-general,1643,1662.6298082021679,287.5093691668375
URY,marine-fish-general,0,0,0
UZB,marine-fish-general,0,0,0
VUT,marine-fish-general,0,0,0
VEN,marine-fish-general,0,0,0
VNM,marine-fish-general,13249.34,13407.6370194798,2318.508451172822
VIR,marine-fish-general,0,0,0
WLF,marine-fish-general,0,0,0
ESH,marine-fish-general,0,0,0
YEM,marine-fish-general,0,0,0
ZMB,marine-fish-general,0,0,0
ZWE,marine-fish-general,0,0,0
XMI,marine-fish-general,440.376160714286,445.6375725046868,77.06163856547668
COD,marine-fish-general,0,0,0
HSX,marine-fish-general,8648.64864864865,8751.978724230457,1513.4312337909887
AFG,salmon,0,0,0
ALA,salmon,229.227611940299,289.4083124202005,41.70049211905085
ALB,salmon,0,0,0
DZA,salmon,0,0,0
ASM,salmon,0,0,0
AND,salmon,0,0,0
AGO,salmon,0,0,0
AIA,salmon,0,0,0
ATG,salmon,0,0,0
ARG,salmon,0,0,0
ARM,salmon,0,0,0
ABW,salmon,0,0,0
AUS,salmon,52580.2,66384.4412979351,9565.253492625368
AUT,salmon,0,0,0
AZE,salmon,0,0,0
BHS,salmon,0,0,0
BHR,salmon,0,0,0
BGD,salmon,0,0,0
BRB,salmon,0,0,0
BLR,salmon,0,0,0
BEL,salmon,0,0,0
BLZ,salmon,0,0,0
BEN,salmon,0,0,0
BMU,salmon,0,0,0
BTN,salmon,0,0,0
BOL,salmon,0,0,0
BES,salmon,0,0,0
BIH,salmon,0,0,0
BWA,salmon,0,0,0
BRA,salmon,0,0,0
IOT,salmon,0,0,0
VGB,salmon,0,0,0
