site_no_,comp_name,cert_name,farm_name,species__c,type_of_certification__c,cert_country,farm_species,geom,,,,,
S0002163,Mowi Norway,Storvikbukta 10421,Storvikbukta 10421,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (11.912632 64.929193),,,,,
S0002164,Mowi Scotland,Marulaig Bay,Marulaig Bay,Salmon,Single Site,United Kingdom of Great Britain and Northern Ireland,Salmo salar (Atlantic salmon),POINT (-7.239923 57.129525),,,,,
S0002166,Empresas AquaChile SA,Aquachile S.A multi-site,Islote Rodríguez (FAILED AUDIT),Salmon,Multi Site with IMS,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.501131 -45.371769),,,,,
S0002169,Empresas AquaChile SA,"!Atlantic salmon MS - 4 sites (Quetros 1, Cuptana 1, Caceres, Quetros 2)",Quetros 1,Salmon,Multi Site without IMS,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.785833 -44.524444),,,,,
S0002171,Empresas AquaChile SA,"!Atlantic salmon MS - 4 sites (Quetros 1, Cuptana 1, Caceres, Quetros 2)",Caceres,Salmon,Multi Site without IMS,Chile,,POINT (-73.861944 -44.288333),,,,,
S0002172,Empresas AquaChile SA,"!Atlantic salmon MS - 4 sites (Quetros 1, Cuptana 1, Caceres, Quetros 2)",Quetros 2,Salmon,Multi Site without IMS,Chile,,POINT (-73.844167 -44.583056),,,,,
S0002173,Empresas AquaChile SA,"!Atlantic salmon MS - 4 sites (Quetros 1, Cuptana 1, Caceres, Quetros 2)",Cuptana 1,Salmon,Multi Site without IMS,Chile,,POINT (-73.794167 -44.606944),,,,,
S0002175,Mowi Chile,Pulelo,Pulelo,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-73.494361 -41.856992),,,,,
S0002176,Mowi Chile,Isla Larenas,Isla Larenas,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-73.502267 -45.0716),,,,,
S0002177,Acuimag S.A.,Wagner 2,Wagner 2,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-72.932719 -52.230114),,,,,
S0002178,Acuimag S.A.,Wagner 1,Wagner 1,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-72.922467 -52.258044),,,,,
S0002179,Australis Mar SA,MORALEDA,MORALEDA,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-73.681967 -45.218819),,,,,
S0002181,Arctic Sea Farm,Dyrafjordur,Haukadalsbót Concession,Salmon,Multi Site without IMS,Iceland,Salmo salar (Atlantic salmon),POINT (-24.023983 65.6526),,,,,
S0002182,Arctic Sea Farm,Dyrafjordur,Kvígindisdalur Concession,Salmon,Multi Site without IMS,Iceland,Salmo salar (Atlantic salmon),POINT (-24.0252 65.58305),,,,,
S0002183,Tassal Operations,ASC-F-SCS-005,MF154 Simmonds,Salmon,Multi Site,Australia,Salmo salar (Atlantic salmon),POINT (147.289306 -43.104917),,,,,
S0002659,Salmones Camanchaca,PASO LAUTARO,PASO LAUTARO,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-74.329428 -44.618667),,,,,
S0002663,Empresas AquaChile S.A.,Aquachile S.A MS - 6 sites (Canalad 1....),Canalad 1,Salmon,Multi Site,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.313889 -44.523889),,,,,
S0002664,Empresas AquaChile S.A.,Aquachile S.A MS - 6 sites (Canalad 1....),Canalad 2,Salmon,Multi Site,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.205203 -44.543753),,,,,
S0002665,Empresas AquaChile S.A.,Aquachile S.A MS - 6 sites (Canalad 1....),Canalad 5,Salmon,Multi Site,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.153936 -44.559017),,,,,
S0002666,Empresas AquaChile S.A.,Aquachile S.A MS - 6 sites (Canalad 1....),Punta Lille 2,Salmon,Multi Site,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.632439 -43.174036),,,,,
S0002667,Empresas AquaChile S.A.,Aquachile S.A MS - 6 sites (Canalad 1....),Puqueldon,Salmon,Multi Site,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.012467 -41.548717),,,,,
S0002668,Empresas AquaChile S.A.,Aquachile S.A MS - 6 sites (Canalad 1....),Quetalco,Salmon,Multi Site,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.554592 -42.345497),,,,,
S0002669,Australis Mar SA,MUÑOZ GAMERO 2,MUÑOZ GAMERO 2,Salmon,Single Site,Chile,Oncorhynchus mykiss (Rainbow trout),POINT (-73.37795 -52.797778),,,,,
S0002671,SALMONES AYSEN S.A,Perhue,Perhue,Salmon,Single Site,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-72.986589 -41.844994),,,,,
S0002672,Mowi Norway,Vedøya 12678,Vedøya 12678,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (11.354818 64.607535),,,,,
S0002673,Mowi Norway,Almurden 13271,Almurden 13271,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (10.678883 64.433533),,,,,
S0002674,Arnarlax,Tjaldanes,Tjaldanes,Salmon,Single Site,Iceland,Salvelinus alpinus (Arctic char),POINT (-23.529167 65.75267),,,,,
S0003122,Empresas AquaChile SA,Aquachile S.A MS - 6 sites (Pelu/Zenteno ....,Punta Paula,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.682661 -43.1853),,,,,
S0003122,Empresas AquaChile S.A.,"Aquachile S.A. MS 4 sites (Garrao, Tahuenahuec, Nevenka, Punta Paula)",Punta Paula,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.682661 -43.1853),,,,,
S0003123,Empresas AquaChile SA,Aquachile S.A MS - 6 sites (Pelu/Zenteno ....,Punta Pelu,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.682661 -43.1853),,,,,
S0003124,Empresas AquaChile SA,Aquachile S.A MS - 6 sites (Pelu/Zenteno ....,Punta Zenteno (Canutillar),Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-72.337664 -41.512517),,,,,
S0003125,Empresas AquaChile SA,Aquachile S.A MS - 6 sites (Pelu/Zenteno ....,Quiquel II,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.589406 -42.36805),,,,,
S0003126,Empresas AquaChile SA,Aquachile S.A MS - 6 sites (Pelu/Zenteno ....,Teguel 1,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.619667 -42.377561),,,,,
S0003127,Empresas AquaChile SA,Aquachile S.A MS - 6 sites (Pelu/Zenteno ....,Teguel 3,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.609272 -42.373603),,,,,
S0003130,Arctic Sea Farm,Dyrafjordur,Hvannadalur Concession,Salmon,Multi Site without IMS,Iceland,Salmo salar (Atlantic salmon),POINT (-24.023983 65.6526),,,,,
S0003131,Empresas AquaChile S.A.,"Aquachile S.A MS - 5 sites (Auchile...) (Aysen I and II, Garrao....)",Aysen II,Salmon,Multi Site without IMS,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.10855 -45.384933),,,,,
S0003132,Empresas AquaChile S.A.,"Aquachile S.A MS - 5 sites (Auchile...) (Aysen I and II, Garrao....)",Aysen III,Salmon,Multi Site without IMS,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.127986 -45.367428),,,,,
S0003133,Empresas AquaChile S.A.,"Aquachile S.A MS - 5 sites (Auchile...) (Aysen I and II, Garrao....)",Garrao,Salmon,Multi Site without IMS,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.753611 -44.403889),,,,,
S0003133,Empresas AquaChile S.A.,"Aquachile S.A. MS 4 sites (Garrao, Tahuenahuec, Nevenka, Punta Paula)",Garrao,Salmon,,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.753611 -44.403889),,,,,
S0003134,Empresas AquaChile S.A.,"Aquachile S.A MS - 5 sites (Auchile...) (Aysen I and II, Garrao....)",Tahuenahuec,Salmon,Multi Site without IMS,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.992222 -44.447778),,,,,
S0003134,Empresas AquaChile S.A.,"Aquachile S.A. MS 4 sites (Garrao, Tahuenahuec, Nevenka, Punta Paula)",Tahuenahuec,Salmon,,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.992222 -44.447778),,,,,
S0003135,Empresas AquaChile S.A.,"Aquachile S.A MS - 5 sites (Auchile...) (Aysen I and II, Garrao....)",Nevenka,Salmon,Multi Site without IMS,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.641508 -45.80285),,,,,
S0003135,Empresas AquaChile S.A.,"Aquachile S.A. MS 4 sites (Garrao, Tahuenahuec, Nevenka, Punta Paula)",Nevenka,Salmon,,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.641508 -45.80285),,,,,
S0003139,Lerøy Vest AS,STOLANE farm,11649 STOLANE,Salmon,Single Site,Norway,Oncorhynchus mykiss (Rainbow trout),POINT (5.1257 60.605117),,,,,
S0003140,Lerøy Vest AS,RAMSVIK farm,RAMSVIK farm,Salmon,Single Site,Norway,Oncorhynchus mykiss (Rainbow trout),POINT (5.1907 60.578167),,,,,
S0003141,Lerøy Vest AS,GRASHOLMEN farm,GRASHOLMEN farm,Salmon,Single Site,Norway,Oncorhynchus mykiss (Rainbow trout),POINT (5.159717 60.595767),,,,,
S0003147,SalMar Farming,NORDNESBUKTA,40357 NORDNESBUKTA,Salmon,Single Site,Norway,Salmo salar (Atlantic salmon),POINT (23.337778 70.725556),,,,,
S0003149,Mowi Chile,Huelden,Huelden,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-73.525703 -41.932933),,,,,
S0003151,Invermar S.A.,Devia Farm,Devia Farm,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-73.279203 -45.148931),,,,,
S0003152,Invermar S.A.,Ester Farm,Ester,Salmon,Single Site,Chile,Salmo salar (Atlantic salmon),POINT (-73.38421 -45.15636),,,,,
S0003153,Salmones Camanchaca,NIEVES,NIEVES Site,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-72.528622 -42.550572),,,,,
S0003157,SALMONES AYSEN S.A,HUITO 1 & 2,HUITO 1,Salmon,,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.161334 -41.749645),,,,,
S0003158,SALMONES AYSEN S.A,HUITO 1 & 2,HUITO 2,Salmon,,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.156325 -41.750164),,,,,
S0003159,Nordlaks Oppdrett AS,Holandselv,17176 Holandselv,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (15.97893 68.69912),,,,,
S0003160,Nordlaks Oppdrett AS,Toppsund Vest,30236 Toppsund Vest,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (16.2927 68.91163),,,,,
S0003161,P/f Bakkafrost Farming,A-25 & A-47 Gøtuvík Farm,Gotuvik A-47,Salmon,Multi Site,Faroe Islands,Salmo salar (Atlantic salmon),POINT (-6.713197 62.188281),,,,,
S0003226,Lerøy Midt,29896 Renndalen,29896 Renndalen site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (8.622778 63.182861),,,,,
S0003173,Mowi Chile,BENJAMIN,Benjamín,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-74.395833 -44.697777),,,,,
S0003175,Empresas AquaChile S.A.,"Empresas AquaChile S.A. Multi-Site, 4 sites (Isla Teresa 1, Kent 2, ...)",Isla Teresa 1,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.749444 -44.924722),,,,,
S0003176,Empresas AquaChile S.A.,"Empresas AquaChile S.A. Multi-Site, 4 sites (Isla Teresa 1, Kent 2, ...)",Kent 2,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-74.258038 -45.145844),,,,,
S0003177,Empresas AquaChile S.A.,"Empresas AquaChile S.A. Multi-Site, 4 sites (Isla Teresa 1, Kent 2, ...)",Ninualac,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.721388 -44.990833),,,,,
S0003178,Empresas AquaChile S.A.,"Empresas AquaChile S.A. Multi-Site, 4 sites (Isla Teresa 1, Kent 2, ...)",Tangbac,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.685277 -45.042777),,,,,
S0003182,Cermaq Chile,YOYE,YOYE site,Salmon,,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.679383 -42.866508),,,,,
S0003183,SALMONES ANTÁRTICA S.A.,CACERES (SALMONES ANTARTICA S.A.),CACERES site,Salmon,,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.390972 -45.420419),,,,,
S0003192,Salmones De Chile S.A.,AULEN,Aulen Site,Salmon,,Chile,Oncorhynchus mykiss (Rainbow trout),POINT (-73.653914 -42.869483),,,,,
S0003193,Mowi Scotland,Gorsten,Gorsten Site,Salmon,,United Kingdom of Great Britain and Northern Ireland,Salmo salar (Atlantic salmon),POINT (-5.175898 56.786451),,,,,
S0003195,SALMONES ANTÁRTICA S.A.,Punta Morro,PUNTA MORRO Site,Salmon,,Chile,Oncorhynchus kisutch (Coho(=Silver) salmon),POINT (-73.289583 -45.308856),,,,,
S0003201,Mowi ASA,Torgerhaugen 30177,Torgerhaugen 30177 Site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (11.762415 64.892693),,,,,
S0003202,Mowi ASA,Kalvhagan II 34797,Kalvhagan II 34797 Site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (12.0567 64.950783),,,,,
S0003205,Empresas AquaChile S.A.,"Empresas AquaChile S.A. (Multi-Site with 7 sites - Canal Luchin, Isla ester....)",Canal Luchín,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.428881 -45.052333),,,,,
S0003206,Empresas AquaChile S.A.,"Empresas AquaChile S.A. (Multi-Site with 7 sites - Canal Luchin, Isla ester....)",Isla Ester,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.33225 -45.138994),,,,,
S0003207,Empresas AquaChile S.A.,"Empresas AquaChile S.A. (Multi-Site with 7 sites - Canal Luchin, Isla ester....)",San Andres,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.251944 -44.956944),,,,,
S0003208,Empresas AquaChile S.A.,"Empresas AquaChile S.A. (Multi-Site with 7 sites - Canal Luchin, Isla ester....)",Canalad 6,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.300278 -44.56),,,,,
S0003209,Empresas AquaChile S.A.,"Empresas AquaChile S.A. (Multi-Site with 7 sites - Canal Luchin, Isla ester....)",Harry 2,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.218597 -44.238436),,,,,
S0003210,Empresas AquaChile S.A.,"Empresas AquaChile S.A. (Multi-Site with 7 sites - Canal Luchin, Isla ester....)",Isla Suarez,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-72.926672 -44.341744),,,,,
S0003212,Salmones Camanchaca,Weste Filomena,Weste Filomena Site,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.641556 -44.475653),,,,,
S0003213,Australis Mar SA,Humos 4,Humos 4 Site,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-74.081528 -45.64075),,,,,
S0003215,Fredrikstad Seafoods AS,35778 Fredrikstad Seafoods farm,35778 Fredrikstad Seafoods site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (10.954366 59.19495),,,,,
S0003221,Lerøy Midt,Fætten,10229 Fætten site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (8.464806 63.152556),,,,,
S0003222,Lerøy Midt,19995 Hagahammaren,19995 Hagahammaren site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (8.018611 63.141889),,,,,
S0003223,Lerøy Midt,12895 Halsbukta,12895 Halsbukta site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (8.149361 63.08625),,,,,
S0003224,Lerøy Midt,12871 Hogsnes,12871 Hogsneset,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (7.681528 63.100056),,,,,
S0003225,Lerøy Midt,30337 Hogsneset N,30337 Hogsneset N site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (7.672778 63.100083),,,,,
S0003231,Lerøy Vest AS,ANGELSKÅR 13563,ANGELSKÅR 13563 site,Salmon,,Norway,Oncorhynchus mykiss (Rainbow trout),POINT (5.3563 60.520817),,,,,
S0003232,Lerøy Vest AS,13644 TEPSTAD,13644 TEPSTAD site,Salmon,,Norway,Oncorhynchus mykiss (Rainbow trout),POINT (5.380017 60.5517),,,,,
S0003246,Mowi Chile,Alao Oeste,ALAO OESTE site,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.335697 -42.603547),,,,,
S0003249,Cermaq Canada,Fortune Channel,Fortune Channel site,Salmon,,Canada,Salmo salar (Atlantic salmon),POINT (-125.751767 49.234233),,,,,
S0003250,Grieg Seafood Finnmark AS,38857 Vannfjorden,38857 Vannfjorden site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (25.38915 71.017783),,,,,
S0003251,Mowi Scotland,Loch Garry,Loch Garry site,Salmon,Single Site,United Kingdom of Great Britain and Northern Ireland,Salmo salar (Atlantic salmon),POINT (-4.936154 57.07096),,,,,
S0003252,Mowi Scotland,Loch Ness,Loch Ness site,Salmon,,United Kingdom of Great Britain and Northern Ireland,Salmo salar (Atlantic salmon),POINT (-4.344692 57.371881),,,,,
S0003257,SalMar Farming,10224 KORSNESET 2,10224 KORSNESET 2 site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (8.21375 63.14129),,,,,
S0003258,SalMar Farming,27436 SOLVÆRET,27436 SOLVÆRET Site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (7.85693 63.255),,,,,
S0003259,SalMar Farming,31338 STORSKJERET,31338 STORSKJERET Site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (8.22828 63.26985),,,,,
S0003260,SalMar Farming,32097 KORSNESET 1,32097 KORSNESET 1 Site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (8.21375 63.4268),,,,,
S0003261,SalMar Farming,32597 FJORDPRAKKEN,32597 FJORDPRAKKEN Site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (7.928259 63.256198),,,,,
S0003265,P/f Bakkafrost Farming,A-21 & A-11 Hvannasund Suður,A-11 Hvannasund Sudur,Salmon,Multi Site,Faroe Islands,Salmo salar (Atlantic salmon),POINT (-6.446786 62.276851),,,,,
S0003266,SALMONES BLUMAR S.A.,Dring 1,Dring 1 Site,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-74.283917 -45.195972),,,,,
S0003280,Cermaq Norway,Toknebuktneset 10635,Toknebuktneset 10635 - Site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (24.075312 70.571591),,,,,
S0003286,Australis Mar SA,Matilde 3,Matilde 3 Site,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-74.081514 -45.640761),,,,,
S0003287,Australis Mar SA,CORDOVA 5,Cordova 5 site,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-73.502353 -53.195706),,,,,
S0003288,Australis Mar SA,ISLA GRANDE - Australis Mar,Isla Grande - Australis mar -Site,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-72.396928 -53.720022),,,,,
S0003290,Nova Austral,ARACENA 13,ARACENA 13 - Site,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-71.106666 -54.080833),,,,,
S0003291,Empresas AquaChile S.A.,Melinka MS (Empresas AquaChile S.A.),Canal Temuán,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.615833 -44.7225),,,,,
S0003292,Empresas AquaChile S.A.,Melinka MS (Empresas AquaChile S.A.),Carabelas,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.823611 -44.665555),,,,,
S0003293,Empresas AquaChile S.A.,Melinka MS (Empresas AquaChile S.A.),Cuptana 2,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.840833 -44.630555),,,,,
S0003294,Empresas AquaChile S.A.,Melinka MS (Empresas AquaChile S.A.),Jesús 7,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.940833 -44.736111),,,,,
S0003295,Empresas AquaChile S.A.,Melinka MS (Empresas AquaChile S.A.),Jesús 9,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.855833 -44.741944),,,,,
S0003296,Empresas AquaChile S.A.,Melinka MS (Empresas AquaChile S.A.),Valverde 2,Salmon,Multi Site without IMS,Chile,Salmo salar (Atlantic salmon),POINT (-73.863333 -44.344722),,,,,
S0003308,Mowi Scotland,Cairidh,Cairidh site,Salmon,,United Kingdom of Great Britain and Northern Ireland,Salmo salar (Atlantic salmon),POINT (-6.049331 57.285749),,,,,
S0003309,Mowi Scotland,Maol Ban,Maol Ban site,Salmon,,United Kingdom of Great Britain and Northern Ireland,Salmo salar (Atlantic salmon),POINT (-6.044233 57.308683),,,,,
S0003310,Mowi Scotland,Sconser Quarry,Sconser Quarry site,Salmon,,United Kingdom of Great Britain and Northern Ireland,Salmo salar (Atlantic salmon),POINT (-6.080174 57.310621),,,,,
S0003312,Flakstadvåg Laks AS,Årberg 11364,Årberg 11364 Site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (16.916055 69.196054),,,,,
S0003313,Australis Mar SA,Matilde 2,Matilde 2 Site,Salmon,,Chile,Salmo salar (Atlantic salmon),POINT (-74.151417 -45.571333),,,,,
S0003315,Mowi ASA,Klubben 19755,Klubben 19755 site,Salmon,,Norway,Salmo salar (Atlantic salmon),POINT (12.439195 65.352349),,,,,
S0000701,SÜRSAN SU ÜRÜNLERI SAN. VE TIC.A.S.,Sursan Ikizadalar-2 Ag Kaf. Den. Bal. Yet.Prj,Sursan Ikizadalar-2 Ag Kaf. Den. Bal. Yet.Prj,"Seabass, Seabream and Meagre",Single Site,Turkey,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (27.442156 37.151617),,,,,
S0000702,SÜRSAN SU ÜRÜNLERI SAN. VE TIC.A.S.,Sursan Su Urunleri Yetistircilik Projesi,Sursan Su Urunleri Yetistircilik Projesi,"Seabass, Seabream and Meagre",Single Site,Turkey,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (27.461611 37.190819),,,,,
S0000703,Ilknak Su Urunleri San Tic AS,Ilknak 1 Lev. Cip. Gran. Mine. Sivr. Kara. Baliklari Yet Projesi,Ilknak 1 Lev. Cip. Gran. Mine. Sivr. Kara. Baliklari Yet Projesi,"Seabass, Seabream and Meagre",Single Site,Turkey,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (26.820278 38.925556),,,,,
S0000730,CROMARIS D.D.,CROMARIS D.D.,Lamjana Farm,"Seabass, Seabream and Meagre",Multi Site with IMS,Croatia,"Dicentrarchus labrax (European seabass), Argyrosomus regius (Meagre), Sparus aurata (Gilthead seabream)",POINT (15.206797 44.025197),,,,,
S0000704,Gökçe Su Ürünleri Turizm San. Tic. A.S,Gokce Su Urunleri Turizm San. Tic. A.S,Enver Kaba Deniz Balıkları Yetiştiriciliği Projesi,"Seabass, Seabream and Meagre",Multi Site without IMS,Turkey,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (27.154255 37.490784),,,,,
S0000705,Gökçe Su Ürünleri Turizm San. Tic. A.S,Gokce Su Urunleri Turizm San. Tic. A.S,Gökçe Off shore sistemleri ile su ürünleri yet. Rev. Projesi,"Seabass, Seabream and Meagre",Multi Site without IMS,Turkey,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (27.425543 37.261517),,,,,
S0000706,Gökçe Su Ürünleri Turizm San. Tic. A.S,Gokce Su Urunleri Turizm San. Tic. A.S,Milasya Su Ürünleri Üretim Rev. Projesi,"Seabass, Seabream and Meagre",Multi Site without IMS,Turkey,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (27.4378 37.288647),,,,,
S0000709,Nireus Aquaculture S.A.,Vathia Louza,Vathia Louza,"Seabass, Seabream and Meagre",Single Site,Greece,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (22.108611 38.367222),,,,,
S0000710,Nireus Aquaculture S.A.,Mpogazaki,Mpogazaki,"Seabass, Seabream and Meagre",Single Site,Greece,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (24.0475 38.368056),,,,,
S0000711,FTHIOTIDA AQUACULTURE S.M.S.A.,"Thesi Ormos Chrisaiti, D. Thisvi, Viota","Thesi Ormos Chrisaiti, D. Thisvi, Viota","Seabass, Seabream and Meagre",Single Site,Greece,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (22.954361 38.187611),,,,,
S0000712,FTHIOTIDA AQUACULTURE S.M.S.A.,"Thesi Ormos Spilia, D. Thisvi, Viota","Thesi Ormos Spilia, D. Thisvi, Viota","Seabass, Seabream and Meagre",Single Site,Greece,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (22.9155 38.191722),,,,,
S0000713,FTHIOTIDA AQUACULTURE S.M.S.A.,"Thesi Akrotirio Trachilos, Ormos Spilia, D. Thisvi, Viota","Thesi Akrotirio Trachilos, Ormos Spilia, D. Thisvi, Viota","Seabass, Seabream and Meagre",Single Site,Greece,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (22.910056 38.185972),,,,,
S0000718,ALMARINA OR SH. P.K.,Via di Pashalim Quartiere 10 Korriku 9426 ORIKUM,Via di Pashalim Quartie,"Seabass, Seabream and Meagre",Single Site,Albania,"Dicentrarchus labrax (European seabass), Sparus aurata (Gilthead seabream)",POINT (19.474311 40.330672),,,,,
S0000728,CROMARIS D.D.,CROMARIS D.D.,Budava Farm,"Seabass, Seabream and Meagre",Multi Site with IMS,Croatia,"Dicentrarchus labrax (European seabass), Argyrosomus regius (Meagre), Sparus aurata (Gilthead seabream)",POINT (13.998367 44.890117),,,,,
S0000729,CROMARIS D.D.,CROMARIS D.D.,Kosara Farm,"Seabass, Seabream and Meagre",Multi Site with IMS,Croatia,"Dicentrarchus labrax (European seabass), Argyrosomus regius (Meagre), Sparus aurata (Gilthead seabream)",POINT (15.39225 43.89075),,,,,
S0000731,CROMARIS D.D.,CROMARIS D.D.,Limski Kanal Farm,"Seabass, Seabream and Meagre",Multi Site with IMS,Croatia,"Dicentrarchus labrax (European seabass), Argyrosomus regius (Meagre), Sparus aurata (Gilthead seabream)",POINT (13.677469 45.131158),,,,,
S0000732,CROMARIS D.D.,CROMARIS D.D.,Velo Zalo Farm,"Seabass, Seabream and Meagre",Multi Site with IMS,Croatia,"Dicentrarchus labrax (European seabass), Argyrosomus regius (Meagre), Sparus aurata (Gilthead seabream)",POINT (15.0636 44.006506),,,,,
S0000753,Galaxidi Marine Farm S.A.,Vathia Limania,Vathia Limania,"Seabass, Seabream and Meagre",Single Site,Greece,"Dicentrarchus labrax (European seabass), Argyrosomus regius (Meagre), Sparus aurata (Gilthead seabream)",POINT (22.271 38.344222),,,,,
