"zone","food_group","n_cells_dom_80%","proportion_dominated","iso3c","Country"
48,"benthic_fisheries",0,0,"CHL","Chile"
48,"reef_fisheries",0,0,"CHL","Chile"
48,"aquaculture_marine",852,8.49535538508508e-05,"CHL","Chile"
49,"demersal_fisheries",1898,0.000189250992029243,"CHN","China"
49,"fofm_fisheries",98,9.77165290772697e-06,"CHN","China"
49,"large.pelagic_fisheries",5379,0.000536344091741463,"CHN","China"
49,"medium.pelagic_fisheries",62,6.18206612529665e-06,"CHN","China"
49,"small.pelagic_fisheries",0,0,"CHN","China"
49,"benthic_fisheries",0,0,"CHN","China"
49,"reef_fisheries",0,0,"CHN","China"
49,"aquaculture_marine",59,5.88293389342746e-06,"CHN","China"
50,"demersal_fisheries",0,0,"CXR","Christmas Island"
50,"fofm_fisheries",1001,9.9810454700354e-05,"CXR","Christmas Island"
50,"large.pelagic_fisheries",1724,0.00017190132258083,"CXR","Christmas Island"
50,"medium.pelagic_fisheries",1698,0.000169308843237963,"CXR","Christmas Island"
50,"small.pelagic_fisheries",0,0,"CXR","Christmas Island"
50,"benthic_fisheries",0,0,"CXR","Christmas Island"
50,"reef_fisheries",0,0,"CXR","Christmas Island"
50,"aquaculture_marine",0,0,"CXR","Christmas Island"
52,"demersal_fisheries",0,0,"CCK","Cocos Islands"
52,"fofm_fisheries",2669,0.000266127975619625,"CCK","Cocos Islands"
52,"large.pelagic_fisheries",2633,0.000262538388837195,"CCK","Cocos Islands"
52,"medium.pelagic_fisheries",0,0,"CCK","Cocos Islands"
52,"small.pelagic_fisheries",0,0,"CCK","Cocos Islands"
52,"benthic_fisheries",0,0,"CCK","Cocos Islands"
52,"reef_fisheries",0,0,"CCK","Cocos Islands"
52,"aquaculture_marine",0,0,"CCK","Cocos Islands"
53,"demersal_fisheries",831,8.28596282277664e-05,"COL","Colombia"
53,"fofm_fisheries",0,0,"COL","Colombia"
53,"large.pelagic_fisheries",13009,0.00129713706812878,"COL","Colombia"
53,"medium.pelagic_fisheries",0,0,"COL","Colombia"
53,"small.pelagic_fisheries",0,0,"COL","Colombia"
53,"benthic_fisheries",0,0,"COL","Colombia"
53,"reef_fisheries",89,8.87425621211939e-06,"COL","Colombia"
53,"aquaculture_marine",2,1.99421487912795e-07,"COL","Colombia"
54,"demersal_fisheries",0,0,"COM","Comoros"
54,"fofm_fisheries",0,0,"COM","Comoros"
54,"large.pelagic_fisheries",3378,0.000336822893084711,"COM","Comoros"
54,"medium.pelagic_fisheries",0,0,"COM","Comoros"
54,"small.pelagic_fisheries",0,0,"COM","Comoros"
54,"benthic_fisheries",0,0,"COM","Comoros"
54,"reef_fisheries",0,0,"COM","Comoros"
54,"aquaculture_marine",0,0,"COM","Comoros"
55,"demersal_fisheries",71,7.07946282090423e-06,"COK","Cook Islands"
55,"fofm_fisheries",0,0,"COK","Cook Islands"
55,"large.pelagic_fisheries",49387,0.00492441451177461,"COK","Cook Islands"
55,"medium.pelagic_fisheries",0,0,"COK","Cook Islands"
55,"small.pelagic_fisheries",0,0,"COK","Cook Islands"
55,"benthic_fisheries",0,0,"COK","Cook Islands"
55,"reef_fisheries",0,0,"COK","Cook Islands"
55,"aquaculture_marine",0,0,"COK","Cook Islands"
56,"demersal_fisheries",2583,0.000257552851639375,"CRI","Costa Rica"
56,"fofm_fisheries",0,0,"CRI","Costa Rica"
56,"large.pelagic_fisheries",3192,0.000318276694708821,"CRI","Costa Rica"
56,"medium.pelagic_fisheries",0,0,"CRI","Costa Rica"
56,"small.pelagic_fisheries",0,0,"CRI","Costa Rica"
56,"benthic_fisheries",0,0,"CRI","Costa Rica"
56,"reef_fisheries",0,0,"CRI","Costa Rica"
56,"aquaculture_marine",447,4.45707025485097e-05,"CRI","Costa Rica"
57,"demersal_fisheries",492,4.90576860265476e-05,"CIV","Côte d'Ivoire"
57,"fofm_fisheries",88,8.77454546816299e-06,"CIV","Côte d'Ivoire"
57,"large.pelagic_fisheries",2052,0.000204606446598528,"CIV","Côte d'Ivoire"
57,"medium.pelagic_fisheries",0,0,"CIV","Côte d'Ivoire"
57,"small.pelagic_fisheries",0,0,"CIV","Côte d'Ivoire"
57,"benthic_fisheries",0,0,"CIV","Côte d'Ivoire"
57,"reef_fisheries",0,0,"CIV","Côte d'Ivoire"
57,"aquaculture_marine",0,0,"CIV","Côte d'Ivoire"
58,"demersal_fisheries",0,0,"HRV","Croatia"
58,"fofm_fisheries",0,0,"HRV","Croatia"
58,"large.pelagic_fisheries",0,0,"HRV","Croatia"
58,"medium.pelagic_fisheries",0,0,"HRV","Croatia"
58,"small.pelagic_fisheries",0,0,"HRV","Croatia"
58,"benthic_fisheries",0,0,"HRV","Croatia"
58,"reef_fisheries",0,0,"HRV","Croatia"
58,"aquaculture_marine",14,1.39595041538957e-06,"HRV","Croatia"
59,"demersal_fisheries",170,1.69508264725876e-05,"CUB","Cuba"
59,"fofm_fisheries",108,1.07687603472909e-05,"CUB","Cuba"
59,"large.pelagic_fisheries",812,8.09651240925949e-05,"CUB","Cuba"
59,"medium.pelagic_fisheries",0,0,"CUB","Cuba"
59,"small.pelagic_fisheries",0,0,"CUB","Cuba"
59,"benthic_fisheries",0,0,"CUB","Cuba"
