iso3c,IMAGE_region,region,NUE,system_n_recovery
FRA,western_europe,France,63.13888888888889,54.875
GUF,latin_america,French Guiana,60.09722222222223,46.916666666666664
PYF,developing,French Polynesia,55.56944444444444,43.95833333333333
GAB,subsaharan_africa,Gabon,123.01388888888889,55.56944444444444
GMB,subsaharan_africa,Gambia,123.01388888888889,55.56944444444444
GEO,transition_countries,Georgia,77.44444444444444,51.875
DEU,western_europe,Germany,63.13888888888889,54.875
GHA,subsaharan_africa,Ghana,123.01388888888889,55.56944444444444
GIB,industrialized,Gibraltar,57.486111111111114,49.56944444444444
GRC,industrialized,Greece,57.486111111111114,49.56944444444444
GRL,north_america,Greenland,57.791666666666664,48.22222222222222
GRD,latin_america,Grenada,60.09722222222223,46.916666666666664
GLP,latin_america,Guadeloupe,60.09722222222223,46.916666666666664
GUM,developing,Guam,55.56944444444444,43.95833333333333
GTM,latin_america,Guatemala,60.09722222222223,46.916666666666664
GGY,industrialized,Guernsey,57.486111111111114,49.56944444444444
GNB,subsaharan_africa,Guinea-Bissau,123.01388888888889,55.56944444444444
GIN,subsaharan_africa,Guinea,123.01388888888889,55.56944444444444
GUY,latin_america,Guyana,60.09722222222223,46.916666666666664
HTI,latin_america,Haiti,60.09722222222223,46.916666666666664
HND,latin_america,Honduras,60.09722222222223,46.916666666666664
HKG,east_asia,Hong Kong Special Administrative Region,44.08333333333333,40.388888888888886
HUN,industrialized,Hungary,57.486111111111114,49.56944444444444
ISL,industrialized,Iceland,57.486111111111114,49.56944444444444
IND,south_asia,India,52.09722222222223,35.56944444444444
IDN,southeast_asia,Indonesia,85.83333333333333,58.916666666666664
IRN,south_asia,Iran (Islamic Republic of),52.09722222222223,35.56944444444444
IRQ,middle_east,Iraq,61.263888888888886,48.958333333333336
IRL,industrialized,Ireland,57.486111111111114,49.56944444444444
IMN,industrialized,Isle of Man,57.486111111111114,49.56944444444444
ISR,middle_east,Israel,61.263888888888886,48.958333333333336
ITA,industrialized,Italy,57.486111111111114,49.56944444444444
JAM,latin_america,Jamaica,60.09722222222223,46.916666666666664
JPN,east_asia,Japan,44.08333333333333,40.388888888888886
JEY,industrialized,Jersey,57.486111111111114,49.56944444444444
JOR,middle_east,Jordan,61.263888888888886,48.958333333333336
KAZ,transition_countries,Kazakhstan,77.44444444444444,51.875
KEN,subsaharan_africa,Kenya,123.01388888888889,55.56944444444444
KIR,developing,Kiribati,55.56944444444444,43.95833333333333
