crop_number,SPAM_short_name,SPAM_super,SPAM_full_name,FAONAMES,FAO_item_code_NFB,FAO_item_code,GROUP,product_description_FAOSTAT,non_food
27,ooil,xoil,other oil crops,olives ++,2586,1241,oilcrops,"Margarine, liquid",
27,ooil,xoil,other oil crops,olives ++,2586,1242,oilcrops,"Margarine, short",
27,ooil,xoil,other oil crops,olives ++,2586,1273,oilcrops,"Castor oil, hydrogenated (opal wax)",
27,ooil,xoil,other oil crops,olives ++,2586,1274,oilcrops,"Oil, boiled, etc",
27,ooil,xoil,other oil crops,olives ++,2586,1275,oilcrops,"Oil, hydrogenated",
31,ofib,ofib,other fibre crops,other fibres ++,,773,fibres,Flax fibre and tow,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,774,fibres,Flax tow and waste,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,775,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,776,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,777,fibres,Hemp fibre and tow,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,778,fibres,Kapok fibre,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,779,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,780,fibres,Jute,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,781,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,782,fibres,Jute-like fibres,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,783,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,784,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,785,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,786,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,787,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,788,fibres,Ramie,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,789,fibres,Sisal,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,790,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,791,fibres,NA,nonfood
31,ofib,ofib,other fibre crops,other fibres ++,,792,fibres,NA,nonfood
