species,isscaap,isscaap_num,global_catch,common_name,Genus,Subfamily,Family,Order,Class,SuperClass
Genyonemus lineatus,Redfishes basses congers,33,16.3343,NA,Genyonemus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Genypterus,Jacks mullets sauries,34,673.81775,NA,NA,NA,NA,NA,NA,NA
Genypterus blacodes,Jacks mullets sauries,34,28096.27304,NA,Genypterus,Ophidiinae,Ophidiidae,Ophidiiformes,Actinopterygii,Osteichthyes
Genypterus capensis,Jacks mullets sauries,34,10793.64051,NA,Genypterus,Ophidiinae,Ophidiidae,Ophidiiformes,Actinopterygii,Osteichthyes
Genypterus chilensis,Jacks mullets sauries,34,478.43176,NA,Genypterus,Ophidiinae,Ophidiidae,Ophidiiformes,Actinopterygii,Osteichthyes
Genypterus maculatus,Jacks mullets sauries,34,242.9124,NA,Genypterus,Ophidiinae,Ophidiidae,Ophidiiformes,Actinopterygii,Osteichthyes
Gerreidae,Redfishes basses congers,33,6268.4038199999995,NA,NA,NA,NA,NA,NA,NA
Gerres,Redfishes basses congers,33,12954.62224,NA,NA,NA,NA,NA,NA,NA
Gerres nigri,Redfishes basses congers,33,2862.9652499999997,NA,Gerres,NA,Gerreidae,Perciformes,Actinopterygii,Osteichthyes
Gerres oyena,Redfishes basses congers,33,725.69604,NA,Gerres,NA,Gerreidae,Perciformes,Actinopterygii,Osteichthyes
Geryon,Sea-spiders crabs,42,5825.11195,NA,NA,NA,NA,NA,NA,NA
Girella tricuspidata,Misc Finfishes,39,267.84078,NA,Girella,Girellinae,Kyphosidae,Perciformes,Actinopterygii,Osteichthyes
Glycymeris glycymeris,Clams cockles arkshells,56,8288.47314,NA,NA,NA,NA,NA,NA,NA
Glyptocephalus cynoglossus,Flounders halibuts soles,31,10955.91634,NA,Glyptocephalus,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Gnathanodon speciosus,Mackerels snoeks cutlassfishes,37,5100.89636,NA,Gnathanodon,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Gobiidae,Redfishes basses congers,33,79407.61715,NA,NA,NA,NA,NA,NA,NA
Gobionotothen acuta,Redfishes basses congers,33,1.88825,NA,Gobionotothen,NA,Nototheniidae,Perciformes,Actinopterygii,Osteichthyes
Gobionotothen gibberifrons,Redfishes basses congers,33,0.67733,NA,Gobionotothen,NA,Nototheniidae,Perciformes,Actinopterygii,Osteichthyes
Gobius niger,Redfishes basses congers,33,0.4311,NA,Gobius,Gobiinae,Gobiidae,Perciformes,Actinopterygii,Osteichthyes
Grammoplites suppositus,Redfishes basses congers,33,53.36002,NA,Grammoplites,NA,Platycephalidae,Scorpaeniformes,Actinopterygii,Osteichthyes
Gymnocranius,Redfishes basses congers,33,494.30381,NA,NA,NA,NA,NA,NA,NA
Gymnosarda unicolor,Tunas bonitos billfishes,36,3599.46155,NA,Gymnosarda,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
Gymnoscopelus nicholsi,Jacks mullets sauries,34,0.01649,NA,Gymnoscopelus,Lampanyctinae,Myctophidae,Myctophiformes,Actinopterygii,Osteichthyes
Gymnothorax,Redfishes basses congers,33,14.66548,NA,NA,NA,NA,NA,NA,NA
Gymnura altavela,Sharks rays skates etc,38,880.24795,NA,Gymnura,NA,Gymnuridae,Myliobatiformes,Elasmobranchii,Chondrichthyes
Haemulidae,Redfishes basses congers,33,221805.86615,NA,NA,NA,NA,NA,NA,NA
Haliotis,Abalones winkles conchs,52,7625.56231,NA,NA,NA,NA,NA,NA,NA
Haliotis gigantea,Abalones winkles conchs,52,2062.46787,NA,NA,NA,NA,NA,NA,NA
Haliotis midae,Abalones winkles conchs,52,248.30234000000002,NA,NA,NA,NA,NA,NA,NA
Haliotis rubra,Abalones winkles conchs,52,639.15272,NA,NA,NA,NA,NA,NA,NA
Haliotis tuberculata,Abalones winkles conchs,52,26.64123,NA,NA,NA,NA,NA,NA,NA
Haliporoides diomedeae,Shrimps prawns,45,81.63407000000001,NA,NA,NA,NA,NA,NA,NA
Haliporoides triarthrus,Shrimps prawns,45,2968.0129,NA,NA,NA,NA,NA,NA,NA
Halobatrachus didactylus,Redfishes basses congers,33,68.63957,NA,Halobatrachus,Halophryninae,Batrachoididae,Batrachoidiformes,Actinopterygii,Osteichthyes
Harengula,Herrings sardines anchovies,35,1331.08701,NA,NA,NA,NA,NA,NA,NA
Harpadon nehereus,Redfishes basses congers,33,247547.17456,NA,Harpadon,Harpadontinae,Synodontidae,Aulopiformes,Actinopterygii,Osteichthyes
Helicolenus dactylopterus dactylopterus,Redfishes basses congers,33,8462.83662,NA,NA,NA,NA,NA,NA,NA
Hemiramphidae,Misc Finfishes,39,26.08154,NA,NA,NA,NA,NA,NA,NA
Hemiramphus,Misc Finfishes,39,157026.34054,NA,NA,NA,NA,NA,NA,NA
Hemiramphus brasiliensis,Misc Finfishes,39,1159.97403,NA,Hemiramphus,NA,Hemiramphidae,Beloniformes,Actinopterygii,Osteichthyes
Herklotsichthys quadrimaculatus,Herrings sardines anchovies,35,42.98358,Sardinella,Herklotsichthys,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Heterocarpus reedi,Shrimps prawns,45,6420.038,NA,NA,NA,NA,NA,NA,NA
Hexanchus griseus,Sharks rays skates etc,38,70.16645,NA,Hexanchus,NA,Hexanchidae,Hexanchiformes,Elasmobranchii,Chondrichthyes
Himantura gerrardi,Sharks rays skates etc,38,64.03204,NA,NA,NA,NA,NA,NA,NA
Hippoglossoides elassodon,Flounders halibuts soles,31,10342.22124,NA,Hippoglossoides,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Hippoglossoides platessoides,Flounders halibuts soles,31,7731.17354,NA,Hippoglossoides,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Hippoglossus hippoglossus,Flounders halibuts soles,31,9014.86222,NA,Hippoglossus,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Hippoglossus stenolepis,Flounders halibuts soles,31,20346.34108,NA,Hippoglossus,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Holocentridae,Redfishes basses congers,33,858.45661,NA,NA,NA,NA,NA,NA,NA
Holocephali,Sharks rays skates etc,38,115.36191,NA,NA,NA,NA,NA,NA,NA
Holothuroidea,Seacucumbers Echinoderms starfish nei,76,63333.81878,NA,NA,NA,NA,NA,NA,NA
Homaridae/Palinuridae,Lobsters spiny-rock lobsters,43,13540.51883,NA,NA,NA,NA,NA,NA,NA
Homarus americanus,Lobsters spiny-rock lobsters,43,76939.01053,NA,NA,NA,NA,NA,NA,NA
Homarus gammarus,Lobsters spiny-rock lobsters,43,4242.52166,NA,NA,NA,NA,NA,NA,NA
Hoplostethus atlanticus,Jacks mullets sauries,34,10012.10358,NA,Hoplostethus,NA,Trachichthyidae,Beryciformes,Actinopterygii,Osteichthyes
Hoplostethus mediterraneus mediterraneus,Jacks mullets sauries,34,0.70743,NA,NA,NA,NA,NA,NA,NA
Hydrolagus,Sharks rays skates etc,38,1459.59106,NA,NA,NA,NA,NA,NA,NA
Hydrolagus novaezealandiae,Sharks rays skates etc,38,1447.54369,NA,Hydrolagus,NA,Chimaeridae,Chimaeriformes,Holocephali,Chondrichthyes
Hyperoglyphe antarctica,Jacks mullets sauries,34,1336.83369,NA,Hyperoglyphe,NA,Centrolophidae,Perciformes,Actinopterygii,Osteichthyes
Hyporhamphus sajori,Misc Finfishes,39,1040.03194,NA,Hyporhamphus,NA,Hemiramphidae,Beloniformes,Actinopterygii,Osteichthyes
Ibacus ciliatus,Lobsters spiny-rock lobsters,43,2.83439,NA,NA,NA,NA,NA,NA,NA
Ilisha africana,Herrings sardines anchovies,35,19435.83086,NA,Ilisha,NA,Pristigasteridae,Clupeiformes,Actinopterygii,Osteichthyes
Ilisha elongata,Herrings sardines anchovies,35,86523.29997,NA,Ilisha,NA,Pristigasteridae,Clupeiformes,Actinopterygii,Osteichthyes
Illex argentinus,Squids cuttlefishes octopuses,57,440184.63136,NA,NA,NA,NA,NA,NA,NA
Illex coindetii,Squids cuttlefishes octopuses,57,4814.45483,NA,NA,NA,NA,NA,NA,NA
Illex illecebrosus,Squids cuttlefishes octopuses,57,25792.54796,NA,NA,NA,NA,NA,NA,NA
Isacia conceptionis,Redfishes basses congers,33,5632.52209,NA,Isacia,Haemulinae,Haemulidae,Perciformes,Actinopterygii,Osteichthyes
Istiophoridae,Tunas bonitos billfishes,36,16897.00506,NA,NA,NA,NA,NA,NA,NA
Istiophorus albicans,Tunas bonitos billfishes,36,3477.92144,NA,Istiophorus,NA,Istiophoridae,Perciformes,Actinopterygii,Osteichthyes
Istiophorus platypterus,Tunas bonitos billfishes,36,33001.95837,NA,Istiophorus,NA,Istiophoridae,Perciformes,Actinopterygii,Osteichthyes
Isurus,Sharks rays skates etc,38,53.25926,NA,NA,NA,NA,NA,NA,NA
Isurus oxyrinchus,Sharks rays skates etc,38,15523.54811,NA,Isurus,NA,Lamnidae,Lamniformes,Elasmobranchii,Chondrichthyes
Isurus paucus,Sharks rays skates etc,38,224.61235,NA,Isurus,NA,Lamnidae,Lamniformes,Elasmobranchii,Chondrichthyes
Jasus edwardsii,Lobsters spiny-rock lobsters,43,2842.97962,NA,NA,NA,NA,NA,NA,NA
Jasus frontalis,Lobsters spiny-rock lobsters,43,103.36052000000001,NA,NA,NA,NA,NA,NA,NA
Jasus lalandii,Lobsters spiny-rock lobsters,43,4397.2104899999995,NA,NA,NA,NA,NA,NA,NA
Jasus novaehollandiae,Lobsters spiny-rock lobsters,43,5415.65791,NA,NA,NA,NA,NA,NA,NA
Jasus verreauxi,Lobsters spiny-rock lobsters,43,38.126219999999996,NA,NA,NA,NA,NA,NA,NA
Joturus pichardi,Redfishes basses congers,33,453.09425,NA,Joturus,NA,Mugilidae,Mugiliformes,Actinopterygii,Osteichthyes
Kathetostoma giganteum,Misc Finfishes,39,3050.57561,NA,Kathetostoma,NA,Uranoscopidae,Perciformes,Actinopterygii,Osteichthyes
Katsuwonus pelamis,Tunas bonitos billfishes,36,3063683.8263500007,NA,Katsuwonus,Scombrinae,Scombridae,Perciformes,Actinopterygii,Osteichthyes
King crabs squat-lobsters,Craylets squat lobsters,44,891.73221,NA,NA,NA,NA,NA,NA,NA
Konosirus punctatus,Shads,24,9135.86712,NA,Konosirus,Dorosomatinae,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes
Kyphosus,Misc Finfishes,39,59.86688,NA,NA,NA,NA,NA,NA,NA
Labridae,Redfishes basses congers,33,27050.20641,NA,NA,NA,NA,NA,NA,NA
Labrus bergylta,Redfishes basses congers,33,242.94781,NA,Labrus,NA,Labridae,Perciformes,Actinopterygii,Osteichthyes
Labrus merula,Redfishes basses congers,33,0.21118,NA,Labrus,NA,Labridae,Perciformes,Actinopterygii,Osteichthyes
Lactarius lactarius,Misc Finfishes,39,82205.54995,NA,Lactarius,NA,Lactariidae,Perciformes,Actinopterygii,Osteichthyes
Lamna nasus,Sharks rays skates etc,38,512.83596,NA,Lamna,NA,Lamnidae,Lamniformes,Elasmobranchii,Chondrichthyes
Lamnidae,Sharks rays skates etc,38,1159.46584,NA,NA,NA,NA,NA,NA,NA
Lamniformes,Sharks rays skates etc,38,0.20213,NA,NA,NA,NA,NA,NA,NA
Lampris guttatus,Misc Finfishes,39,1277.41726,NA,Lampris,NA,Lampridae,Lampriformes,Actinopterygii,Osteichthyes
Larimichthys crocea,Redfishes basses congers,33,72303.6174,NA,Larimichthys,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Larimichthys polyactis,Redfishes basses congers,33,323594.98894,NA,Larimichthys,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Lateolabrax japonicus,Redfishes basses congers,33,11829.96618,NA,Lateolabrax,NA,Lateolabracidae,Perciformes,Actinopterygii,Osteichthyes
Lates calcarifer,Redfishes basses congers,33,300591.08189,NA,Lates,NA,Latidae,Perciformes,Actinopterygii,Osteichthyes
Latridae,Jacks mullets sauries,34,625.16224,NA,NA,NA,NA,NA,NA,NA
Leiognathidae,Redfishes basses congers,33,559805.11543,NA,NA,NA,NA,NA,NA,NA
Leiognathus,Redfishes basses congers,33,11839.78007,NA,NA,NA,NA,NA,NA,NA
Leiostomus xanthurus,Redfishes basses congers,33,968.42075,NA,Leiostomus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Lepidocybium flavobrunneum,Mackerels snoeks cutlassfishes,37,978.37914,NA,Lepidocybium,NA,Gempylidae,Perciformes,Actinopterygii,Osteichthyes
Lepidonotothen larseni,Redfishes basses congers,33,0.21356,NA,NA,NA,NA,NA,NA,NA
Lepidonotothen mizops,Redfishes basses congers,33,0.0046,NA,NA,NA,NA,NA,NA,NA
Lepidonotothen nudifrons,Redfishes basses congers,33,0.00101,NA,NA,NA,NA,NA,NA,NA
Lepidonotothen squamifrons,Redfishes basses congers,33,1.9988,NA,Lepidonotothen,NA,Nototheniidae,Perciformes,Actinopterygii,Osteichthyes
Lepidoperca pulchella,Redfishes basses congers,33,13.04093,NA,Lepidoperca,Anthiinae,Serranidae,Perciformes,Actinopterygii,Osteichthyes
Lepidopsetta bilineata,Flounders halibuts soles,31,36901.14531,NA,Lepidopsetta,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Lepidopus caudatus,Jacks mullets sauries,34,12130.86951,NA,Lepidopus,Lepidopinae,Trichiuridae,Perciformes,Actinopterygii,Osteichthyes
Lepidorhombus,Flounders halibuts soles,31,12660.46673,NA,NA,NA,NA,NA,NA,NA
Lepidorhombus boscii,Flounders halibuts soles,31,56.04719,NA,Lepidorhombus,NA,Scophthalmidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Lepidorhombus whiffiagonis,Flounders halibuts soles,31,3534.16565,NA,Lepidorhombus,NA,Scophthalmidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Lepidorhynchus denticulatus,Cods hakes haddocks,32,4345.04616,NA,Lepidorhynchus,Macrourinae,Macrouridae,Gadiformes,Actinopterygii,Osteichthyes
Lethrinidae,Redfishes basses congers,33,305124.07527,NA,NA,NA,NA,NA,NA,NA
Lethrinus atlanticus,Redfishes basses congers,33,2833.74314,NA,Lethrinus,Lethrininae,Lethrinidae,Perciformes,Actinopterygii,Osteichthyes
Lethrinus borbonicus,Redfishes basses congers,33,1250.59744,NA,Lethrinus,Lethrininae,Lethrinidae,Perciformes,Actinopterygii,Osteichthyes
Lethrinus harak,Redfishes basses congers,33,53.35984,NA,Lethrinus,Lethrininae,Lethrinidae,Perciformes,Actinopterygii,Osteichthyes
Lethrinus lentjan,Redfishes basses congers,33,6189.56914,NA,Lethrinus,Lethrininae,Lethrinidae,Perciformes,Actinopterygii,Osteichthyes
Lethrinus mahsena,Redfishes basses congers,33,816.04538,NA,Lethrinus,Lethrininae,Lethrinidae,Perciformes,Actinopterygii,Osteichthyes
Lethrinus microdon,Redfishes basses congers,33,408.40221,NA,Lethrinus,Lethrininae,Lethrinidae,Perciformes,Actinopterygii,Osteichthyes
Lethrinus nebulosus,Redfishes basses congers,33,46060.48199,NA,Lethrinus,Lethrininae,Lethrinidae,Perciformes,Actinopterygii,Osteichthyes
Lethrinus obsoletus,Redfishes basses congers,33,405.53596,NA,Lethrinus,Lethrininae,Lethrinidae,Perciformes,Actinopterygii,Osteichthyes
Lethrinus xanthochilus,Redfishes basses congers,33,32.01602,NA,Lethrinus,Lethrininae,Lethrinidae,Perciformes,Actinopterygii,Osteichthyes
Leucoraja circularis,Sharks rays skates etc,38,296.50961,NA,Leucoraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Leucoraja erinacea,Sharks rays skates etc,38,4555.34194,NA,Leucoraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Leucoraja fullonica,Sharks rays skates etc,38,41.33363,NA,Leucoraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Leucoraja naevus,Sharks rays skates etc,38,2514.48188,NA,Leucoraja,NA,Rajidae,Rajiformes,Elasmobranchii,Chondrichthyes
Lichia amia,Mackerels snoeks cutlassfishes,37,8632.73703,NA,Lichia,Trachinotinae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Limanda aspera,Flounders halibuts soles,31,132698.69786,NA,Limanda,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Limanda ferruginea,Flounders halibuts soles,31,10575.99905,NA,Limanda,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Limanda limanda,Flounders halibuts soles,31,14777.20591,NA,Limanda,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopterygii,Osteichthyes
Limulus polyphemus,Horseshoe crabs and other arachnoids,75,1673.33517,NA,NA,NA,NA,NA,NA,NA
Liocarcinus depurator,Sea-spiders crabs,42,2.73318,NA,NA,NA,NA,NA,NA,NA
Lithodes,Craylets squat lobsters,44,6439.55283,NA,NA,NA,NA,NA,NA,NA
Lithodes aequispinus,Craylets squat lobsters,44,5658.7324,NA,NA,NA,NA,NA,NA,NA
Lithodes antarcticus,Craylets squat lobsters,44,9265.83534,NA,NA,NA,NA,NA,NA,NA
Lithodes maia,Craylets squat lobsters,44,2.11258,NA,NA,NA,NA,NA,NA,NA
Lithodidae,Craylets squat lobsters,44,0.02178,NA,NA,NA,NA,NA,NA,NA
Lithognathus mormyrus,Redfishes basses congers,33,4351.6868699999995,NA,Lithognathus,NA,Sparidae,Perciformes,Actinopterygii,Osteichthyes
Litopenaeus occidentalis,Shrimps prawns,45,731.9396,NA,NA,NA,NA,NA,NA,NA
Litopenaeus setiferus,Shrimps prawns,45,57598.61059,NA,NA,NA,NA,NA,NA,NA
Litopenaeus stylirostris,Shrimps prawns,45,42042.52158,NA,NA,NA,NA,NA,NA,NA
Litopenaeus vannamei,Shrimps prawns,45,12413.84919,NA,NA,NA,NA,NA,NA,NA
Littorina,Abalones winkles conchs,52,1336.81968,NA,NA,NA,NA,NA,NA,NA
Littorina littorea,Abalones winkles conchs,52,750.64881,NA,NA,NA,NA,NA,NA,NA
Liza aurata,Redfishes basses congers,33,4729.12692,NA,NA,NA,NA,NA,NA,NA
Liza klunzingeri,Redfishes basses congers,33,1840.52689,NA,Liza,NA,Mugilidae,Mugiliformes,Actinopterygii,Osteichthyes
Liza saliens,Redfishes basses congers,33,293.39866,NA,NA,NA,NA,NA,NA,NA
Lobotes surinamensis,Misc Finfishes,39,433.74580000000003,NA,Lobotes,NA,Lobotidae,Perciformes,Actinopterygii,Osteichthyes
Loligo,Squids cuttlefishes octopuses,57,583331.36794,NA,NA,NA,NA,NA,NA,NA
Loligo forbesii,Squids cuttlefishes octopuses,57,493.05242,NA,NA,NA,NA,NA,NA,NA
Loligo gahi,Squids cuttlefishes octopuses,57,85710.47704,NA,NA,NA,NA,NA,NA,NA
Loligo opalescens,Squids cuttlefishes octopuses,57,71278.58508,NA,NA,NA,NA,NA,NA,NA
Loligo pealeii,Squids cuttlefishes octopuses,57,8922.51713,NA,NA,NA,NA,NA,NA,NA
Loligo vulgaris,Squids cuttlefishes octopuses,57,690.27836,NA,NA,NA,NA,NA,NA,NA
Lophiidae,Jacks mullets sauries,34,21769.617,NA,NA,NA,NA,NA,NA,NA
Lophius,Jacks mullets sauries,34,27140.75798,NA,NA,NA,NA,NA,NA,NA
Lophius americanus,Jacks mullets sauries,34,11243.55495,NA,Lophius,NA,Lophiidae,Lophiiformes,Actinopterygii,Osteichthyes
Lophius budegassa,Jacks mullets sauries,34,3.44609,NA,Lophius,NA,Lophiidae,Lophiiformes,Actinopterygii,Osteichthyes
Lophius gastrophysus,Jacks mullets sauries,34,2590.41621,NA,Lophius,NA,Lophiidae,Lophiiformes,Actinopterygii,Osteichthyes
Lophius piscatorius,Jacks mullets sauries,34,42137.26131,NA,Lophius,NA,Lophiidae,Lophiiformes,Actinopterygii,Osteichthyes
Lophius vomerinus,Jacks mullets sauries,34,10772.88157,NA,Lophius,NA,Lophiidae,Lophiiformes,Actinopterygii,Osteichthyes
Lopholatilus chamaeleonticeps,Jacks mullets sauries,34,1189.09983,NA,Lopholatilus,Latilinae,Malacanthidae,Perciformes,Actinopterygii,Osteichthyes
Loxechinus albus,Seacucumbers Echinoderms starfish nei,76,59364.02426,NA,NA,NA,NA,NA,NA,NA
Lutjanidae,Redfishes basses congers,33,200304.33193000001,NA,NA,NA,NA,NA,NA,NA
Lutjanus,Redfishes basses congers,33,1154490.8368,NA,NA,NA,NA,NA,NA,NA
Lutjanus analis,Redfishes basses congers,33,266.39111,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus argentimaculatus,Redfishes basses congers,33,21163.90355,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus argentiventris,Redfishes basses congers,33,570.00066,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus bohar,Redfishes basses congers,33,384.19199,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus campechanus,Redfishes basses congers,33,20821.03242,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus gibbus,Redfishes basses congers,33,298.81609,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus griseus,Redfishes basses congers,33,542.53946,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus guttatus,Redfishes basses congers,33,2028.48376,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus johnii,Redfishes basses congers,33,15424.78452,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus kasmira,Redfishes basses congers,33,21.34399,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus malabaricus,Redfishes basses congers,33,4361.63811,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus purpureus,Redfishes basses congers,33,12373.90959,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus quinquelineatus,Redfishes basses congers,33,352.17599,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus synagris,Redfishes basses congers,33,4044.27196,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lutjanus vivanus,Redfishes basses congers,33,85.61237,NA,Lutjanus,Lutjaninae,Lutjanidae,Perciformes,Actinopterygii,Osteichthyes
Lycodes,Misc Finfishes,39,125.39121,NA,NA,NA,NA,NA,NA,NA
Macrodon ancylodon,Redfishes basses congers,33,13070.63695,German salmon,Macrodon,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Macrodon ancylodon,Redfishes basses congers,33,13070.63695,Rock salmon,Macrodon,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Macrodon ancylodon,Redfishes basses congers,33,13070.63695,Yellow mouth salmon,Macrodon,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Macroramphosus scolopax,Misc Finfishes,39,1486.91822,NA,Macroramphosus,Macroramphosinae,Centriscidae,Syngnathiformes,Actinopterygii,Osteichthyes
Macrouridae,Cods hakes haddocks,32,34236.23891,NA,NA,NA,NA,NA,NA,NA
Macrourus,Cods hakes haddocks,32,3329.90238,NA,NA,NA,NA,NA,NA,NA
Macrourus berglax,Cods hakes haddocks,32,437.18712,NA,Macrourus,Macrourinae,Macrouridae,Gadiformes,Actinopterygii,Osteichthyes
Macrourus whitsoni,Cods hakes haddocks,32,2.15662,Macrourus whitsoni,Macrourus,Macrourinae,Macrouridae,Gadiformes,Actinopterygii,Osteichthyes
Macruronus magellanicus,Cods hakes haddocks,32,57398.13706,NA,Macruronus,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Macruronus novaezelandiae,Cods hakes haddocks,32,147623.13904,NA,Macruronus,Merlucciinae,Merlucciidae,Gadiformes,Actinopterygii,Osteichthyes
Mactra sachalinensis,Clams cockles arkshells,56,583.97877,NA,NA,NA,NA,NA,NA,NA
Mactridae,Clams cockles arkshells,56,5.6776,NA,NA,NA,NA,NA,NA,NA
Maja squinado,Sea-spiders crabs,42,7420.23504,NA,NA,NA,NA,NA,NA,NA
Makaira indica,Tunas bonitos billfishes,36,20980.47057,NA,NA,NA,NA,NA,NA,NA
Makaira mazara,Tunas bonitos billfishes,36,52069.71888,NA,Makaira,NA,Istiophoridae,Perciformes,Actinopterygii,Osteichthyes
Makaira nigricans,Tunas bonitos billfishes,36,2042.40014,NA,Makaira,NA,Istiophoridae,Perciformes,Actinopterygii,Osteichthyes
Malacanthidae,Jacks mullets sauries,34,60084.83962,NA,NA,NA,NA,NA,NA,NA
Mallotus villosus,Salmons trouts smelts,23,351876.91233,NA,Mallotus,NA,Osmeridae,Osmeriformes,Actinopterygii,Osteichthyes
Mancopsetta maculata antarctica,Flounders halibuts soles,31,0.00527,NA,NA,NA,NA,NA,NA,NA
Marine animals,Misc Finfishes,39,198349.75289,NA,NA,NA,NA,NA,NA,NA
Marine fishes not identified,Misc Finfishes,39,10888491.294329999,NA,NA,NA,NA,NA,NA,NA
Marsupenaeus japonicus,Shrimps prawns,45,1569.94027,NA,NA,NA,NA,NA,NA,NA
Megabalanus psittacus,Marine crustaceans nei,47,701.90885,NA,NA,NA,NA,NA,NA,NA
Megalaspis cordyla,Mackerels snoeks cutlassfishes,37,167992.667,NA,Megalaspis,Caranginae,Carangidae,Perciformes,Actinopterygii,Osteichthyes
Megalops atlanticus,Herrings sardines anchovies,35,1267.79914,NA,Megalops,NA,Megalopidae,Elopiformes,Actinopterygii,Osteichthyes
Megalops cyprinoides,Herrings sardines anchovies,35,2175.35686,NA,Megalops,NA,Megalopidae,Elopiformes,Actinopterygii,Osteichthyes
Melanogrammus aeglefinus,Cods hakes haddocks,32,446634.99023,NA,Melanogrammus,NA,Gadidae,Gadiformes,Actinopterygii,Osteichthyes
Melicertus kerathurus,Shrimps prawns,45,6837.7225,NA,NA,NA,NA,NA,NA,NA
Melicertus latisulcatus,Shrimps prawns,45,1091.41962,NA,NA,NA,NA,NA,NA,NA
Mene maculata,Misc Finfishes,39,14609.26662,NA,Mene,NA,Menidae,Perciformes,Actinopterygii,Osteichthyes
Menidia menidia,Mackerels snoeks cutlassfishes,37,28.8985,NA,Menidia,Menidiinae,Atherinopsidae,Atheriniformes,Actinopterygii,Osteichthyes
Menippe mercenaria,Sea-spiders crabs,42,1302.00507,NA,NA,NA,NA,NA,NA,NA
Menticirrhus,Redfishes basses congers,33,1905.50333,NA,NA,NA,NA,NA,NA,NA
Menticirrhus littoralis,Redfishes basses congers,33,360.22713,NA,Menticirrhus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Menticirrhus saxatilis,Redfishes basses congers,33,67.45466,NA,Menticirrhus,NA,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes
Mercenaria mercenaria,Clams cockles arkshells,56,75800.24401,NA,NA,NA,NA,NA,NA,NA
Meretrix,Clams cockles arkshells,56,1.17284,NA,NA,NA,NA,NA,NA,NA
Meretrix lusoria,Clams cockles arkshells,56,635.09385,NA,NA,NA,NA,NA,NA,NA
