iso3c,head_count,water_consumption,full_name,gleam_prod_system,gleam_product,gleam_livestock
GNQ,7510.602096478079,703.8280097088743,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
LIE,11114.155840359963,856.428477783171,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
CHE,11826.246325651853,914.8503970135502,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
AND,13643.246288010563,1053.3350743213844,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
LVA,16466.778918656557,1269.9987644128144,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SMR,17049.6012532878,1365.973904813706,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
DMA,14314.746169237062,1430.358368960781,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
XMI,19976.47682932377,1540.462408039185,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MNE,19863.890177331574,1575.025589811938,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GUF,15769.445233090393,1628.4920541135582,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
FRO,21259.07301045697,1645.68290800679,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
COK,18000,1688.2434926300891,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
NIU,18000.000000000004,1771.7456417938808,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SVK,23820.224707235764,1848.698156631239,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
BHR,16882.111174135465,1886.706092983218,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
IMN,28012.74765174755,2152.9816762626283,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
VCT,23066.1758618661,2271.0302105118844,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
GRD,25191.764999177696,2618.773172621115,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
MTQ,26739.550555983813,2762.1128695321872,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
SPM,44000,3386.719922927531,chickens_backyard_eggs&meat,backyard,eggs&meat,chickens
