"iso3c","country","origin","cum_pressure_prop_final","cum_pressure_percent_final"
"LCA","Saint Lucia","marine",0.189489684782145,18.95
"LIE","Liechtenstein","freshwater",0.00352403464951679,0.35
"LIE","Liechtenstein","land",0.996475965350483,99.65
"LIE","Liechtenstein","marine",0,0
"LKA","Sri Lanka","freshwater",0.000796322349872099,0.08
"LKA","Sri Lanka","land",0.840079378812878,84.01
"LKA","Sri Lanka","marine",0.15912429883725,15.91
"LSO","Lesotho","freshwater",0.00150566199449759,0.15
"LSO","Lesotho","land",0.998494338005502,99.85
"LSO","Lesotho","marine",0,0
"LTU","Lithuania","freshwater",0.000948266351937606,0.09
"LTU","Lithuania","land",0.985792734630901,98.58
"LTU","Lithuania","marine",0.0132589990171609,1.33
"LUX","Luxembourg","freshwater",0.000419511462972661,0.04
"LUX","Luxembourg","land",0.999580488537027,99.96
"LUX","Luxembourg","marine",0,0
"LVA","Latvia","freshwater",0.00202054786817645,0.2
"LVA","Latvia","land",0.920416056078271,92.04
"LVA","Latvia","marine",0.0775633960535522,7.76
"MAC","Macao","freshwater",0.00030775164483154,0.03
"MAC","Macao","land",0.23981279023657,23.98
"MAC","Macao","marine",0.759879458118599,75.99
"MAF","Saint-Martin","freshwater",0.000398964009841258,0.04
"MAF","Saint-Martin","land",0.0452435806371426,4.52
"MAF","Saint-Martin","marine",0.954357455353016,95.44
"MAR","Morocco","freshwater",0.00026242309465974,0.03
"MAR","Morocco","land",0.888229084370649,88.82
"MAR","Morocco","marine",0.111508492534691,11.15
"MCO","Monaco","freshwater",0.00949574294995281,0.95
"MCO","Monaco","land",0,0
"MCO","Monaco","marine",0.990504257050047,99.05
"MDA","Moldova","freshwater",0.000435326845609047,0.04
"MDA","Moldova","land",0.999564673154391,99.96
"MDA","Moldova","marine",0,0
"MDG","Madagascar","freshwater",0.00262611856520974,0.26
"MDG","Madagascar","land",0.929524176658128,92.95
"MDG","Madagascar","marine",0.067849704776662,6.78
"MDV","Maldives","freshwater",0,0
"MDV","Maldives","land",0,0
"MDV","Maldives","marine",1,100
"MEX","Mexico","freshwater",0.000971265934964091,0.1
"MEX","Mexico","land",0.917883648627757,91.79
"MEX","Mexico","marine",0.0811450854372793,8.11
"MHL","Marshall Islands","freshwater",3.63192939977504e-05,0
"MHL","Marshall Islands","land",0.00135329937601422,0.14
"MHL","Marshall Islands","marine",0.998610381329988,99.86
"MKD","Macedonia","freshwater",0.00115158509385164,0.12
"MKD","Macedonia","land",0.998848414906148,99.88
"MKD","Macedonia","marine",0,0
"MLI","Mali","freshwater",0.00112509888306925,0.11
"MLI","Mali","land",0.998874901116931,99.89
"MLI","Mali","marine",0,0
"MLT","Malta","freshwater",2.52042215693065e-05,0
"MLT","Malta","land",0.136702834145264,13.67
"MLT","Malta","marine",0.863271961633167,86.33
"MMR","Myanmar","freshwater",0.00219154329307412,0.22
"MMR","Myanmar","land",0.865097546642316,86.51
"MMR","Myanmar","marine",0.132710910064609,13.27
"MNE","Montenegro","freshwater",0.0045610172588511,0.46
"MNE","Montenegro","land",0.797917475775485,79.79
"MNE","Montenegro","marine",0.197521506965664,19.75
"MNG","Mongolia","freshwater",0.00213996250661084,0.21
"MNG","Mongolia","land",0.997860037493389,99.79
"MNG","Mongolia","marine",0,0
"MNP","Northern Mariana Islands","freshwater",0.0416898305361016,4.17
"MNP","Northern Mariana Islands","land",0.589162765448059,58.92
"MNP","Northern Mariana Islands","marine",0.36914740401584,36.91
"MOZ","Mozambique","freshwater",0.00450710933561713,0.45
"MOZ","Mozambique","land",0.854341118406143,85.43
"MOZ","Mozambique","marine",0.14115177225824,14.12
"MRT","Mauritania","freshwater",0.00286396710290378,0.29
"MRT","Mauritania","land",0.27630309369724,27.63
"MRT","Mauritania","marine",0.720832939199856,72.08
