"region","species","variable","units","year","value","gapfilled"
"Other Counties","Other fish species","Stock_Jan1_count","1000x","2013",461.044580840052,"gapfilled"
"Rogaland","Salmon","supplies_count","1000x","2013",19163,NA
"Rogaland","Rainbow trout","supplies_count","1000x","2013",21,NA
"Rogaland","Other fish species","supplies_count","1000x","2013",1092,NA
"Hordaland","Salmon","supplies_count","1000x","2013",46647,NA
"Hordaland","Rainbow trout","supplies_count","1000x","2013",9813,NA
"Hordaland","Other fish species","supplies_count","1000x","2013",1314,NA
"Sogn og Fjordane","Salmon","supplies_count","1000x","2013",22931,NA
"Sogn og Fjordane","Rainbow trout","supplies_count","1000x","2013",4760,NA
"Sogn og Fjordane","Other fish species","supplies_count","1000x","2013",843,NA
"Møre og Romsdal","Salmon","supplies_count","1000x","2013",14123,NA
"Møre og Romsdal","Rainbow trout","supplies_count","1000x","2013",3252.25475331662,"gapfilled"
"Møre og Romsdal","Other fish species","supplies_count","1000x","2013",970.745246683377,"gapfilled"
"Trøndelag","Salmon","supplies_count","1000x","2013",0,NA
"Trøndelag","Rainbow trout","supplies_count","1000x","2013",0,NA
"Trøndelag","Other fish species","supplies_count","1000x","2013",0,NA
"Sør-Trøndelag","Salmon","supplies_count","1000x","2013",53881,NA
"Sør-Trøndelag","Rainbow trout","supplies_count","1000x","2013",7.11138310893513,"gapfilled"
"Sør-Trøndelag","Other fish species","supplies_count","1000x","2013",573.888616891065,"gapfilled"
"Nord-Trøndelag","Salmon","supplies_count","1000x","2013",20781.3563081771,"gapfilled"
"Nord-Trøndelag","Rainbow trout","supplies_count","1000x","2013",0,NA
"Nord-Trøndelag","Other fish species","supplies_count","1000x","2013",73.6436918228998,"gapfilled"
"Nordland","Salmon","supplies_count","1000x","2013",54915,NA
"Nordland","Rainbow trout","supplies_count","1000x","2013",1697,NA
"Nordland","Other fish species","supplies_count","1000x","2013",1456,NA
"Troms","Salmon","supplies_count","1000x","2013",35056,NA
"Troms","Rainbow trout","supplies_count","1000x","2013",484.340357164926,"gapfilled"
"Troms","Other fish species","supplies_count","1000x","2013",107.659642835074,"gapfilled"
"Finnmark","Salmon","supplies_count","1000x","2013",21065,NA
"Finnmark","Rainbow trout","supplies_count","1000x","2013",47.7156398104265,"gapfilled"
"Finnmark","Other fish species","supplies_count","1000x","2013",12.2843601895735,"gapfilled"
"Other Counties","Salmon","supplies_count","1000x","2013",5031.06928704633,"gapfilled"
"Other Counties","Rainbow trout","supplies_count","1000x","2013",229,NA
"Other Counties","Other fish species","supplies_count","1000x","2013",392.930712953665,"gapfilled"
"Rogaland","Salmon","delivered_for_sale_count","1000x","2013",16129,NA
"Rogaland","Rainbow trout","delivered_for_sale_count","1000x","2013",9,NA
"Rogaland","Other fish species","delivered_for_sale_count","1000x","2013",861,NA
"Hordaland","Salmon","delivered_for_sale_count","1000x","2013",34900,NA
"Hordaland","Rainbow trout","delivered_for_sale_count","1000x","2013",8962,NA
"Hordaland","Other fish species","delivered_for_sale_count","1000x","2013",96,NA
"Sogn og Fjordane","Salmon","delivered_for_sale_count","1000x","2013",21088,NA
"Sogn og Fjordane","Rainbow trout","delivered_for_sale_count","1000x","2013",3377,NA
"Sogn og Fjordane","Other fish species","delivered_for_sale_count","1000x","2013",358,NA
"Møre og Romsdal","Salmon","delivered_for_sale_count","1000x","2013",25406,NA
"Møre og Romsdal","Rainbow trout","delivered_for_sale_count","1000x","2013",2519.46674393149,"gapfilled"
"Møre og Romsdal","Other fish species","delivered_for_sale_count","1000x","2013",802.533256068508,"gapfilled"
"Trøndelag","Salmon","delivered_for_sale_count","1000x","2013",0,NA
"Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2013",0,NA
"Trøndelag","Other fish species","delivered_for_sale_count","1000x","2013",0,NA
"Sør-Trøndelag","Salmon","delivered_for_sale_count","1000x","2013",25313,NA
"Sør-Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2013",7.14035087719298,"gapfilled"
"Sør-Trøndelag","Other fish species","delivered_for_sale_count","1000x","2013",29.859649122807,"gapfilled"
"Nord-Trøndelag","Salmon","delivered_for_sale_count","1000x","2013",20171.2004374131,"gapfilled"
"Nord-Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2013",0,NA
"Nord-Trøndelag","Other fish species","delivered_for_sale_count","1000x","2013",391.799562586918,"gapfilled"
"Nordland","Salmon","delivered_for_sale_count","1000x","2013",45948,NA
"Nordland","Rainbow trout","delivered_for_sale_count","1000x","2013",1038,NA
"Nordland","Other fish species","delivered_for_sale_count","1000x","2013",1753,NA
"Troms","Salmon","delivered_for_sale_count","1000x","2013",26927,NA
"Troms","Rainbow trout","delivered_for_sale_count","1000x","2013",454.388724273244,"gapfilled"
"Troms","Other fish species","delivered_for_sale_count","1000x","2013",107.611275726756,"gapfilled"
"Finnmark","Salmon","delivered_for_sale_count","1000x","2013",18617,NA
"Finnmark","Rainbow trout","delivered_for_sale_count","1000x","2013",564.470212765958,"gapfilled"
"Finnmark","Other fish species","delivered_for_sale_count","1000x","2013",174.529787234043,"gapfilled"
"Other Counties","Salmon","delivered_for_sale_count","1000x","2013",3343.50595152732,"gapfilled"
"Other Counties","Rainbow trout","delivered_for_sale_count","1000x","2013",58,NA
"Other Counties","Other fish species","delivered_for_sale_count","1000x","2013",189.49404847268,"gapfilled"
"Rogaland","Salmon","loss_count","1000x","2013",3843,NA
"Rogaland","Rainbow trout","loss_count","1000x","2013",9,NA
"Rogaland","Other fish species","loss_count","1000x","2013",327,NA
"Hordaland","Salmon","loss_count","1000x","2013",7406,NA
"Hordaland","Rainbow trout","loss_count","1000x","2013",1760,NA
"Hordaland","Other fish species","loss_count","1000x","2013",814,NA
"Sogn og Fjordane","Salmon","loss_count","1000x","2013",2132,NA
"Sogn og Fjordane","Rainbow trout","loss_count","1000x","2013",794,NA
"Sogn og Fjordane","Other fish species","loss_count","1000x","2013",63,NA
"Møre og Romsdal","Salmon","loss_count","1000x","2013",2697,NA
"Møre og Romsdal","Rainbow trout","loss_count","1000x","2013",388.323940536943,"gapfilled"
"Møre og Romsdal","Other fish species","loss_count","1000x","2013",538.676059463058,"gapfilled"
"Trøndelag","Salmon","loss_count","1000x","2013",0,NA
"Trøndelag","Rainbow trout","loss_count","1000x","2013",0,NA
"Trøndelag","Other fish species","loss_count","1000x","2013",0,NA
"Sør-Trøndelag","Salmon","loss_count","1000x","2013",5029,NA
"Sør-Trøndelag","Rainbow trout","loss_count","1000x","2013",1.38834951456311,"gapfilled"
"Sør-Trøndelag","Other fish species","loss_count","1000x","2013",9.61165048543689,"gapfilled"
"Nord-Trøndelag","Salmon","loss_count","1000x","2013",3050.46464272492,"gapfilled"
"Nord-Trøndelag","Rainbow trout","loss_count","1000x","2013",0,NA
"Nord-Trøndelag","Other fish species","loss_count","1000x","2013",109.535357275083,"gapfilled"
"Nordland","Salmon","loss_count","1000x","2013",7659,NA
"Nordland","Rainbow trout","loss_count","1000x","2013",219,NA
"Nordland","Other fish species","loss_count","1000x","2013",1121,NA
"Troms","Salmon","loss_count","1000x","2013",4802,NA
"Troms","Rainbow trout","loss_count","1000x","2013",35.2106620808255,"gapfilled"
"Troms","Other fish species","loss_count","1000x","2013",27.7893379191745,"gapfilled"
"Finnmark","Salmon","loss_count","1000x","2013",3460,NA
"Finnmark","Rainbow trout","loss_count","1000x","2013",92.1332300542215,"gapfilled"
"Finnmark","Other fish species","loss_count","1000x","2013",51.8667699457785,"gapfilled"
"Other Counties","Salmon","loss_count","1000x","2013",474.340403517848,"gapfilled"
"Other Counties","Rainbow trout","loss_count","1000x","2013",11,NA
"Other Counties","Other fish species","loss_count","1000x","2013",55.6595964821521,"gapfilled"
"Rogaland","Salmon","stock_dec_31_count","1000x","2013",25920,NA
"Rogaland","Rainbow trout","stock_dec_31_count","1000x","2013",22,NA
"Rogaland","Other fish species","stock_dec_31_count","1000x","2013",1121,NA
"Hordaland","Salmon","stock_dec_31_count","1000x","2013",55364,NA
"Hordaland","Rainbow trout","stock_dec_31_count","1000x","2013",11621,NA
"Hordaland","Other fish species","stock_dec_31_count","1000x","2013",1609,NA
"Sogn og Fjordane","Salmon","stock_dec_31_count","1000x","2013",30337,NA
"Sogn og Fjordane","Rainbow trout","stock_dec_31_count","1000x","2013",5780,NA
"Sogn og Fjordane","Other fish species","stock_dec_31_count","1000x","2013",720,NA
"Møre og Romsdal","Salmon","stock_dec_31_count","1000x","2013",29338,NA
"Møre og Romsdal","Rainbow trout","stock_dec_31_count","1000x","2013",3354.66726815138,"gapfilled"
"Møre og Romsdal","Other fish species","stock_dec_31_count","1000x","2013",1787.33273184862,"gapfilled"
"Trøndelag","Salmon","stock_dec_31_count","1000x","2013",0,NA
"Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2013",0,NA
"Trøndelag","Other fish species","stock_dec_31_count","1000x","2013",0,NA
"Sør-Trøndelag","Salmon","stock_dec_31_count","1000x","2013",57233,NA
"Sør-Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2013",13.0048216007715,"gapfilled"
"Sør-Trøndelag","Other fish species","stock_dec_31_count","1000x","2013",599.995178399229,"gapfilled"
"Nord-Trøndelag","Salmon","stock_dec_31_count","1000x","2013",27168.2471965471,"gapfilled"
"Nord-Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2013",0,NA
"Nord-Trøndelag","Other fish species","stock_dec_31_count","1000x","2013",379.752803452915,"gapfilled"
"Nordland","Salmon","stock_dec_31_count","1000x","2013",66471,NA
"Nordland","Rainbow trout","stock_dec_31_count","1000x","2013",2715,NA
"Nordland","Other fish species","stock_dec_31_count","1000x","2013",725,NA
"Troms","Salmon","stock_dec_31_count","1000x","2013",48037,NA
"Troms","Rainbow trout","stock_dec_31_count","1000x","2013",508.379324453335,"gapfilled"
"Troms","Other fish species","stock_dec_31_count","1000x","2013",96.6206755466655,"gapfilled"
"Finnmark","Salmon","stock_dec_31_count","1000x","2013",31823,NA
"Finnmark","Rainbow trout","stock_dec_31_count","1000x","2013",656.354515050167,"gapfilled"
"Finnmark","Other fish species","stock_dec_31_count","1000x","2013",128.645484949833,"gapfilled"
"Other Counties","Salmon","stock_dec_31_count","1000x","2013",7399.25199488106,"gapfilled"
"Other Counties","Rainbow trout","stock_dec_31_count","1000x","2013",180,NA
"Other Counties","Other fish species","stock_dec_31_count","1000x","2013",606.74800511894,"gapfilled"
"Rogaland","Salmon","tonnes_fish","tonnes","2013",76872,NA
"Rogaland","Rainbow trout","tonnes_fish","tonnes","2013",308.788410217308,"gapfilled"
"Rogaland","Char","tonnes_fish","tonnes","2013",0,NA
"Rogaland","Cod","tonnes_fish","tonnes","2013",547.397636294319,"gapfilled"
"Rogaland","Halibut","tonnes_fish","tonnes","2013",0,"gapfilled"
"Rogaland","Shellfish","tonnes_fish","tonnes","2013",87.8139534883721,"gapfilled"
"Rogaland","Other fish species","tonnes_fish","tonnes","2013",0,NA
"Hordaland","Salmon","tonnes_fish","tonnes","2013",160524,NA
"Hordaland","Rainbow trout","tonnes_fish","tonnes","2013",36905,NA
"Hordaland","Char","tonnes_fish","tonnes","2013",0,NA
"Hordaland","Cod","tonnes_fish","tonnes","2013",42.6627288836385,"gapfilled"
"Hordaland","Halibut","tonnes_fish","tonnes","2013",0,NA
"Hordaland","Shellfish","tonnes_fish","tonnes","2013",9.33727111636149,"gapfilled"
"Hordaland","Other fish species","tonnes_fish","tonnes","2013",0,NA
"Sogn og Fjordane","Salmon","tonnes_fish","tonnes","2013",102132,NA
"Sogn og Fjordane","Rainbow trout","tonnes_fish","tonnes","2013",12875,NA
"Sogn og Fjordane","Char","tonnes_fish","tonnes","2013",0,NA
"Sogn og Fjordane","Cod","tonnes_fish","tonnes","2013",812,"gapfilled"
"Sogn og Fjordane","Halibut","tonnes_fish","tonnes","2013",0,"gapfilled"
"Sogn og Fjordane","Shellfish","tonnes_fish","tonnes","2013",307,NA
"Sogn og Fjordane","Other fish species","tonnes_fish","tonnes","2013",0,NA
"Møre og Romsdal","Salmon","tonnes_fish","tonnes","2013",128337,NA
"Møre og Romsdal","Rainbow trout","tonnes_fish","tonnes","2013",12625.0359123177,"gapfilled"
"Møre og Romsdal","Char","tonnes_fish","tonnes","2013",0,NA
"Møre og Romsdal","Cod","tonnes_fish","tonnes","2013",1159.45625479662,"gapfilled"
"Møre og Romsdal","Halibut","tonnes_fish","tonnes","2013",474,NA
"Møre og Romsdal","Shellfish","tonnes_fish","tonnes","2013",12.5078328856485,"gapfilled"
"Møre og Romsdal","Other fish species","tonnes_fish","tonnes","2013",0,NA
"Trøndelag","Salmon","tonnes_fish","tonnes","2013",0,NA
"Trøndelag","Rainbow trout","tonnes_fish","tonnes","2013",0,NA
"Trøndelag","Char","tonnes_fish","tonnes","2013",0,NA
"Trøndelag","Cod","tonnes_fish","tonnes","2013",0,NA
"Trøndelag","Halibut","tonnes_fish","tonnes","2013",0,NA
"Trøndelag","Shellfish","tonnes_fish","tonnes","2013",0,NA
"Trøndelag","Other fish species","tonnes_fish","tonnes","2013",0,NA
"Sør-Trøndelag","Salmon","tonnes_fish","tonnes","2013",133716,NA
"Sør-Trøndelag","Rainbow trout","tonnes_fish","tonnes","2013",0,NA
"Sør-Trøndelag","Char","tonnes_fish","tonnes","2013",0,"gapfilled"
"Sør-Trøndelag","Cod","tonnes_fish","tonnes","2013",0,NA
"Sør-Trøndelag","Halibut","tonnes_fish","tonnes","2013",0,NA
"Sør-Trøndelag","Shellfish","tonnes_fish","tonnes","2013",897,"gapfilled"
"Sør-Trøndelag","Other fish species","tonnes_fish","tonnes","2013",0,NA
"Nord-Trøndelag","Salmon","tonnes_fish","tonnes","2013",92651,NA
"Nord-Trøndelag","Rainbow trout","tonnes_fish","tonnes","2013",0,NA
"Nord-Trøndelag","Char","tonnes_fish","tonnes","2013",0,NA
"Nord-Trøndelag","Cod","tonnes_fish","tonnes","2013",0,NA
"Nord-Trøndelag","Halibut","tonnes_fish","tonnes","2013",0,NA
"Nord-Trøndelag","Shellfish","tonnes_fish","tonnes","2013",496,NA
"Nord-Trøndelag","Other fish species","tonnes_fish","tonnes","2013",0,NA
"Nordland","Salmon","tonnes_fish","tonnes","2013",234503,NA
"Nordland","Rainbow trout","tonnes_fish","tonnes","2013",3447,NA
"Nordland","Char","tonnes_fish","tonnes","2013",234,NA
"Nordland","Cod","tonnes_fish","tonnes","2013",1991,"gapfilled"
"Nordland","Halibut","tonnes_fish","tonnes","2013",0,"gapfilled"
"Nordland","Shellfish","tonnes_fish","tonnes","2013",620,NA
"Nordland","Other fish species","tonnes_fish","tonnes","2013",0,NA
"Troms","Salmon","tonnes_fish","tonnes","2013",134483,NA
"Troms","Rainbow trout","tonnes_fish","tonnes","2013",1941.88698023829,"gapfilled"
"Troms","Char","tonnes_fish","tonnes","2013",0,NA
"Troms","Cod","tonnes_fish","tonnes","2013",792.113019761711,"gapfilled"
"Troms","Halibut","tonnes_fish","tonnes","2013",0,NA
"Troms","Shellfish","tonnes_fish","tonnes","2013",0,"gapfilled"
"Troms","Other fish species","tonnes_fish","tonnes","2013",0,NA
"Finnmark","Salmon","tonnes_fish","tonnes","2013",89734,NA
"Finnmark","Rainbow trout","tonnes_fish","tonnes","2013",2725,"gapfilled"
"Finnmark","Char","tonnes_fish","tonnes","2013",0,"gapfilled"
"Finnmark","Cod","tonnes_fish","tonnes","2013",0,NA
"Finnmark","Halibut","tonnes_fish","tonnes","2013",0,NA
"Finnmark","Shellfish","tonnes_fish","tonnes","2013",0,NA
"Finnmark","Other fish species","tonnes_fish","tonnes","2013",0,NA
"Other Counties","Salmon","tonnes_fish","tonnes","2013",15372,NA
"Other Counties","Rainbow trout","tonnes_fish","tonnes","2013",40,NA
"Other Counties","Char","tonnes_fish","tonnes","2013",0,NA
"Other Counties","Cod","tonnes_fish","tonnes","2013",0,NA
"Other Counties","Halibut","tonnes_fish","tonnes","2013",0,NA
"Other Counties","Shellfish","tonnes_fish","tonnes","2013",16.9928825622776,"gapfilled"
"Other Counties","Other fish species","tonnes_fish","tonnes","2013",174.007117437722,"gapfilled"
"Rogaland","Salmon","Stock_Jan1_count","1000x","2014",26292,NA
"Rogaland","Rainbow trout","Stock_Jan1_count","1000x","2014",19,NA
"Rogaland","Other fish species","Stock_Jan1_count","1000x","2014",1121,NA
"Hordaland","Salmon","Stock_Jan1_count","1000x","2014",55393,NA
"Hordaland","Rainbow trout","Stock_Jan1_count","1000x","2014",11621,NA
"Hordaland","Other fish species","Stock_Jan1_count","1000x","2014",20,NA
"Sogn og Fjordane","Salmon","Stock_Jan1_count","1000x","2014",30135,NA
"Sogn og Fjordane","Rainbow trout","Stock_Jan1_count","1000x","2014",5327.10886427531,"gapfilled"
"Sogn og Fjordane","Other fish species","Stock_Jan1_count","1000x","2014",1067.89113572469,"gapfilled"
"Møre og Romsdal","Salmon","Stock_Jan1_count","1000x","2014",29098,NA
"Møre og Romsdal","Rainbow trout","Stock_Jan1_count","1000x","2014",2466.13854983429,"gapfilled"
"Møre og Romsdal","Other fish species","Stock_Jan1_count","1000x","2014",1653.86145016571,"gapfilled"
"Trøndelag","Salmon","Stock_Jan1_count","1000x","2014",0,NA
"Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2014",0,NA
"Trøndelag","Other fish species","Stock_Jan1_count","1000x","2014",0,NA
"Sør-Trøndelag","Salmon","Stock_Jan1_count","1000x","2014",57233,NA
"Sør-Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2014",55.3307984790875,"gapfilled"
"Sør-Trøndelag","Other fish species","Stock_Jan1_count","1000x","2014",586.669201520913,"gapfilled"
"Nord-Trøndelag","Salmon","Stock_Jan1_count","1000x","2014",26757.504075692,"gapfilled"
"Nord-Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2014",0,NA
"Nord-Trøndelag","Other fish species","Stock_Jan1_count","1000x","2014",790.495924307963,"gapfilled"
"Nordland","Salmon","Stock_Jan1_count","1000x","2014",65893,NA
"Nordland","Rainbow trout","Stock_Jan1_count","1000x","2014",1165.83584090571,"gapfilled"
"Nordland","Other fish species","Stock_Jan1_count","1000x","2014",2170.16415909429,"gapfilled"
"Troms","Salmon","Stock_Jan1_count","1000x","2014",46094.4086939875,"gapfilled"
"Troms","Rainbow trout","Stock_Jan1_count","1000x","2014",1343.59130601253,"gapfilled"
"Troms","Other fish species","Stock_Jan1_count","1000x","2014",0,NA
"Finnmark","Salmon","Stock_Jan1_count","1000x","2014",29998,NA
"Finnmark","Rainbow trout","Stock_Jan1_count","1000x","2014",610.27525499511,"gapfilled"
"Finnmark","Other fish species","Stock_Jan1_count","1000x","2014",174.72474500489,"gapfilled"
"Other Counties","Salmon","Stock_Jan1_count","1000x","2014",6932,NA
"Other Counties","Rainbow trout","Stock_Jan1_count","1000x","2014",60,NA
"Other Counties","Other fish species","Stock_Jan1_count","1000x","2014",310,NA
"Rogaland","Salmon","supplies_count","1000x","2014",19122,NA
"Rogaland","Rainbow trout","supplies_count","1000x","2014",20,NA
"Rogaland","Other fish species","supplies_count","1000x","2014",276,NA
"Hordaland","Salmon","supplies_count","1000x","2014",40960,NA
"Hordaland","Rainbow trout","supplies_count","1000x","2014",11390,NA
"Hordaland","Other fish species","supplies_count","1000x","2014",13,NA
"Sogn og Fjordane","Salmon","supplies_count","1000x","2014",23820,NA
"Sogn og Fjordane","Rainbow trout","supplies_count","1000x","2014",4566.88734726054,"gapfilled"
"Sogn og Fjordane","Other fish species","supplies_count","1000x","2014",794.112652739456,"gapfilled"
"Møre og Romsdal","Salmon","supplies_count","1000x","2014",47175,NA
"Møre og Romsdal","Rainbow trout","supplies_count","1000x","2014",2556.82826924253,"gapfilled"
"Møre og Romsdal","Other fish species","supplies_count","1000x","2014",763.171730757474,"gapfilled"
"Trøndelag","Salmon","supplies_count","1000x","2014",0,NA
"Trøndelag","Rainbow trout","supplies_count","1000x","2014",0,NA
"Trøndelag","Other fish species","supplies_count","1000x","2014",0,NA
"Sør-Trøndelag","Salmon","supplies_count","1000x","2014",16094,NA
"Sør-Trøndelag","Rainbow trout","supplies_count","1000x","2014",4.51652386780906,"gapfilled"
"Sør-Trøndelag","Other fish species","supplies_count","1000x","2014",364.483476132191,"gapfilled"
"Nord-Trøndelag","Salmon","supplies_count","1000x","2014",25839.4318114285,"gapfilled"
"Nord-Trøndelag","Rainbow trout","supplies_count","1000x","2014",0,NA
"Nord-Trøndelag","Other fish species","supplies_count","1000x","2014",91.568188571547,"gapfilled"
"Nordland","Salmon","supplies_count","1000x","2014",57834,NA
"Nordland","Rainbow trout","supplies_count","1000x","2014",790.859511098623,"gapfilled"
"Nordland","Other fish species","supplies_count","1000x","2014",964.140488901377,"gapfilled"
"Troms","Salmon","supplies_count","1000x","2014",37766.3609358517,"gapfilled"
"Troms","Rainbow trout","supplies_count","1000x","2014",1088.63906414829,"gapfilled"
"Troms","Other fish species","supplies_count","1000x","2014",0,NA
"Finnmark","Salmon","supplies_count","1000x","2014",21870,NA
"Finnmark","Rainbow trout","supplies_count","1000x","2014",47.7156398104265,"gapfilled"
"Finnmark","Other fish species","supplies_count","1000x","2014",12.2843601895735,"gapfilled"
"Other Counties","Salmon","supplies_count","1000x","2014",4502,NA
"Other Counties","Rainbow trout","supplies_count","1000x","2014",151,NA
"Other Counties","Other fish species","supplies_count","1000x","2014",213,NA
"Rogaland","Salmon","delivered_for_sale_count","1000x","2014",12747,NA
"Rogaland","Rainbow trout","delivered_for_sale_count","1000x","2014",10,NA
"Rogaland","Other fish species","delivered_for_sale_count","1000x","2014",163,NA
"Hordaland","Salmon","delivered_for_sale_count","1000x","2014",37338,NA
"Hordaland","Rainbow trout","delivered_for_sale_count","1000x","2014",9276,NA
"Hordaland","Other fish species","delivered_for_sale_count","1000x","2014",0,NA
"Sogn og Fjordane","Salmon","delivered_for_sale_count","1000x","2014",20810,NA
"Sogn og Fjordane","Rainbow trout","delivered_for_sale_count","1000x","2014",4024.76969257841,"gapfilled"
"Sogn og Fjordane","Other fish species","delivered_for_sale_count","1000x","2014",625.230307421592,"gapfilled"
"Møre og Romsdal","Salmon","delivered_for_sale_count","1000x","2014",23541,NA
"Møre og Romsdal","Rainbow trout","delivered_for_sale_count","1000x","2014",2193.34672590303,"gapfilled"
"Møre og Romsdal","Other fish species","delivered_for_sale_count","1000x","2014",698.653274096967,"gapfilled"
"Trøndelag","Salmon","delivered_for_sale_count","1000x","2014",0,NA
"Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2014",0,NA
"Trøndelag","Other fish species","delivered_for_sale_count","1000x","2014",0,NA
"Sør-Trøndelag","Salmon","delivered_for_sale_count","1000x","2014",37348,NA
"Sør-Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2014",12.7368421052632,"gapfilled"
"Sør-Trøndelag","Other fish species","delivered_for_sale_count","1000x","2014",53.2631578947368,"gapfilled"
"Nord-Trøndelag","Salmon","delivered_for_sale_count","1000x","2014",20836.282083893,"gapfilled"
"Nord-Trøndelag","Rainbow trout","delivered_for_sale_count","1000x","2014",0,NA
"Nord-Trøndelag","Other fish species","delivered_for_sale_count","1000x","2014",404.717916107024,"gapfilled"
"Nordland","Salmon","delivered_for_sale_count","1000x","2014",44808,NA
"Nordland","Rainbow trout","delivered_for_sale_count","1000x","2014",820.853197299943,"gapfilled"
"Nordland","Other fish species","delivered_for_sale_count","1000x","2014",1637.14680270006,"gapfilled"
"Troms","Salmon","delivered_for_sale_count","1000x","2014",27604.1716297851,"gapfilled"
"Troms","Rainbow trout","delivered_for_sale_count","1000x","2014",762.828370214897,"gapfilled"
"Troms","Other fish species","delivered_for_sale_count","1000x","2014",0,NA
"Finnmark","Salmon","delivered_for_sale_count","1000x","2014",18015,NA
"Finnmark","Rainbow trout","delivered_for_sale_count","1000x","2014",444.548936170213,"gapfilled"
"Finnmark","Other fish species","delivered_for_sale_count","1000x","2014",137.451063829787,"gapfilled"
"Other Counties","Salmon","delivered_for_sale_count","1000x","2014",4972,NA
"Other Counties","Rainbow trout","delivered_for_sale_count","1000x","2014",137,NA
"Other Counties","Other fish species","delivered_for_sale_count","1000x","2014",140,NA
"Rogaland","Salmon","loss_count","1000x","2014",4955,NA
"Rogaland","Rainbow trout","loss_count","1000x","2014",6,NA
"Rogaland","Other fish species","loss_count","1000x","2014",299,NA
"Hordaland","Salmon","loss_count","1000x","2014",9875,NA
"Hordaland","Rainbow trout","loss_count","1000x","2014",1722,NA
"Hordaland","Other fish species","loss_count","1000x","2014",10,NA
"Sogn og Fjordane","Salmon","loss_count","1000x","2014",3695,NA
"Sogn og Fjordane","Rainbow trout","loss_count","1000x","2014",669.959697732998,"gapfilled"
"Sogn og Fjordane","Other fish species","loss_count","1000x","2014",244.040302267002,"gapfilled"
"Møre og Romsdal","Salmon","loss_count","1000x","2014",4463,NA
"Møre og Romsdal","Rainbow trout","loss_count","1000x","2014",176.358553361438,"gapfilled"
"Møre og Romsdal","Other fish species","loss_count","1000x","2014",244.641446638562,"gapfilled"
"Trøndelag","Salmon","loss_count","1000x","2014",0,NA
"Trøndelag","Rainbow trout","loss_count","1000x","2014",0,NA
"Trøndelag","Other fish species","loss_count","1000x","2014",0,NA
"Sør-Trøndelag","Salmon","loss_count","1000x","2014",3666,NA
"Sør-Trøndelag","Rainbow trout","loss_count","1000x","2014",1.64077669902913,"gapfilled"
"Sør-Trøndelag","Other fish species","loss_count","1000x","2014",11.3592233009709,"gapfilled"
"Nord-Trøndelag","Salmon","loss_count","1000x","2014",2198.072149204,"gapfilled"
"Nord-Trøndelag","Rainbow trout","loss_count","1000x","2014",0,NA
"Nord-Trøndelag","Other fish species","loss_count","1000x","2014",78.9278507960015,"gapfilled"
"Nordland","Salmon","loss_count","1000x","2014",7338,NA
"Nordland","Rainbow trout","loss_count","1000x","2014",53.0807698136081,"gapfilled"
"Nordland","Other fish species","loss_count","1000x","2014",198.919230186392,"gapfilled"
"Troms","Salmon","loss_count","1000x","2014",3648.21779672001,"gapfilled"
"Troms","Rainbow trout","loss_count","1000x","2014",73.7822032799884,"gapfilled"
"Troms","Other fish species","loss_count","1000x","2014",0,NA
"Finnmark","Salmon","loss_count","1000x","2014",3174,NA
"Finnmark","Rainbow trout","loss_count","1000x","2014",39.6684740511232,"gapfilled"
"Finnmark","Other fish species","loss_count","1000x","2014",22.3315259488768,"gapfilled"
"Other Counties","Salmon","loss_count","1000x","2014",422,NA
"Other Counties","Rainbow trout","loss_count","1000x","2014",13,NA
"Other Counties","Other fish species","loss_count","1000x","2014",28,NA
"Rogaland","Salmon","stock_dec_31_count","1000x","2014",27712,NA
"Rogaland","Rainbow trout","stock_dec_31_count","1000x","2014",23,NA
"Rogaland","Other fish species","stock_dec_31_count","1000x","2014",936,NA
"Hordaland","Salmon","stock_dec_31_count","1000x","2014",49139,NA
"Hordaland","Rainbow trout","stock_dec_31_count","1000x","2014",12014,NA
"Hordaland","Other fish species","stock_dec_31_count","1000x","2014",22,NA
"Sogn og Fjordane","Salmon","stock_dec_31_count","1000x","2014",29450,NA
"Sogn og Fjordane","Rainbow trout","stock_dec_31_count","1000x","2014",5214.46198212054,"gapfilled"
"Sogn og Fjordane","Other fish species","stock_dec_31_count","1000x","2014",977.538017879458,"gapfilled"
"Møre og Romsdal","Salmon","stock_dec_31_count","1000x","2014",48270,NA
"Møre og Romsdal","Rainbow trout","stock_dec_31_count","1000x","2014",2692.47604349684,"gapfilled"
"Møre og Romsdal","Other fish species","stock_dec_31_count","1000x","2014",1434.52395650316,"gapfilled"
"Trøndelag","Salmon","stock_dec_31_count","1000x","2014",0,NA
"Trøndelag","Rainbow trout","stock_dec_31_count","1000x","2014",0,NA
"Trøndelag","Other fish species","stock_dec_31_count","1000x","2014",0,NA
